,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E937_665,NA,0.8348,NA,NA
E322_624,NA,NA,0.7831,NA
E778_317,NA,0.39596,NA,NA
E101_324,NA,0.40479,NA,NA
E683_260,NA,NA,NA,0.32409
E63_100,NA,NA,0.12232,NA
E14_510,0.63934,NA,NA,NA
E767_552,0.69231,NA,NA,NA
E164_69,NA,0.08323,NA,NA
E748_130,NA,0.16015,NA,NA
E776_462,NA,NA,NA,0.57881
E378_400,NA,0.50063,NA,NA
E593_278,NA,0.34678,NA,NA
E686_697,NA,NA,NA,0.87516
E295_500,NA,0.62673,NA,NA
E321_21,NA,NA,0.0227,NA
E395_192,0.23834,NA,NA,NA
E233_743,NA,0.93317,NA,NA
E721_608,0.76293,NA,NA,NA
E667_679,NA,NA,NA,0.85246
E886_178,NA,NA,NA,0.22068
E923_112,NA,0.13745,NA,NA
E90_46,NA,0.05422,NA,NA
E369_222,NA,NA,NA,0.27617
E449_443,NA,0.55485,NA,NA
E355_399,NA,0.49937,NA,NA
E855_361,NA,NA,0.45145,NA
E755_47,NA,NA,NA,0.05549
E185_192,NA,NA,NA,0.23834
E268_726,NA,NA,NA,0.91173
E337_604,NA,0.75788,NA,NA
E757_165,NA,0.20429,NA,NA
E579_379,NA,0.47415,NA,NA
E844_165,NA,NA,NA,0.20429
E335_771,NA,NA,0.96847,NA
E699_550,NA,NA,0.68979,NA
E539_578,NA,0.72509,NA,NA
E344_488,NA,0.6116,NA,NA
E695_499,NA,0.62547,NA,NA
E988_11,NA,NA,NA,0.01009
E673_344,NA,0.43001,NA,NA
E601_400,NA,NA,0.50063,NA
E102_716,NA,0.89912,NA,NA
E660_587,NA,NA,NA,0.73644
E725_126,NA,NA,NA,0.15511
E915_327,0.40858,NA,NA,NA
E5_210,NA,NA,NA,0.26103
E455_4,NA,NA,0.00126,NA
E270_57,NA,0.0681,NA,NA
E427_366,NA,NA,0.45776,NA
E348_745,NA,NA,0.93569,NA
E202_359,NA,0.44893,NA,NA
E239_582,NA,0.73014,NA,NA
E128_686,NA,0.86129,NA,NA
E887_681,0.85498,NA,NA,NA
E471_284,0.35435,NA,NA,NA
E352_528,NA,0.66204,NA,NA
E143_647,NA,NA,NA,0.81211
E619_734,NA,0.92182,NA,NA
E635_640,NA,NA,NA,0.80328
E383_707,NA,0.88777,NA,NA
E132_552,0.69231,NA,NA,NA
E360_456,NA,0.57125,NA,NA
E866_119,0.14628,NA,NA,NA
E267_622,0.78058,NA,NA,NA
E567_265,NA,0.33039,NA,NA
E189_3,NA,0.0,NA,NA
E687_376,NA,NA,NA,0.47037
E123_96,NA,NA,NA,0.11728
E874_213,NA,0.26482,NA,NA
E70_388,NA,0.4855,NA,NA
E531_58,NA,0.06936,NA,NA
E417_346,NA,NA,0.43253,NA
E401_67,0.08071,NA,NA,NA
E495_240,NA,0.29887,NA,NA
E708_333,0.41614,NA,NA,NA
E204_459,NA,NA,NA,0.57503
E473_676,NA,0.84868,NA,NA
E435_602,NA,NA,NA,0.75536
E42_470,NA,0.5889,NA,NA
E666_782,NA,NA,NA,0.98235
E303_586,NA,NA,NA,0.73518
E165_647,NA,NA,NA,0.81211
E932_390,NA,0.48802,NA,NA
E114_707,NA,0.88777,NA,NA
E109_576,NA,0.72257,NA,NA
E843_81,NA,0.09836,NA,NA
E505_665,0.8348,NA,NA,NA
E261_41,NA,NA,0.04792,NA
E88_479,0.60025,NA,NA,NA
E551_107,NA,0.13115,NA,NA
E54_40,0.04666,NA,NA,NA
E41_297,NA,NA,NA,0.37074
E27_30,NA,NA,NA,0.03405
E131_212,NA,NA,NA,0.26356
E504_458,NA,NA,0.57377,NA
E941_156,NA,NA,0.19294,NA
E279_422,NA,0.52837,NA,NA
E689_368,NA,NA,0.46028,NA
E37_31,NA,NA,0.03531,NA
E287_529,NA,0.6633,NA,NA
E391_274,NA,NA,NA,0.34174
E362_376,NA,NA,0.47037,NA
E160_453,NA,0.56747,NA,NA
E298_722,NA,0.90668,NA,NA
E64_690,NA,NA,NA,0.86633
E641_31,NA,NA,NA,0.03531
E575_350,NA,0.43758,NA,NA
E672_407,NA,NA,NA,0.50946
E176_397,NA,NA,0.49685,NA
E479_175,NA,NA,0.2169,NA
E952_477,NA,NA,NA,0.59773
E618_755,NA,NA,NA,0.9483
E255_451,0.56494,NA,NA,NA
E380_341,NA,0.42623,NA,NA
E336_52,0.06179,NA,NA,NA
E265_596,NA,NA,0.74779,NA
E958_592,NA,NA,NA,0.74275
E422_57,0.0681,NA,NA,NA
E957_654,NA,0.82093,NA,NA
E664_169,0.20933,NA,NA,NA
E384_284,NA,NA,NA,0.35435
E818_739,NA,0.92812,NA,NA
E249_360,NA,NA,0.45019,NA
E823_98,NA,NA,NA,0.1198
E314_596,NA,0.74779,NA,NA
E49_438,0.54855,NA,NA,NA
E271_348,NA,NA,NA,0.43506
E835_491,NA,0.61538,NA,NA
E86_328,NA,NA,NA,0.40984
E904_618,NA,NA,NA,0.77554
E817_785,NA,0.98613,NA,NA
E95_14,NA,NA,NA,0.01387
E772_411,NA,NA,NA,0.5145
E972_427,NA,0.53468,NA,NA
E546_530,0.66456,NA,NA,NA
E139_243,NA,0.30265,NA,NA
E892_287,NA,NA,0.35813,NA
E69_263,NA,NA,NA,0.32787
E727_562,NA,0.70492,NA,NA
E334_27,NA,0.03026,NA,NA
E34_32,NA,NA,NA,0.03657
E942_16,0.01639,NA,NA,NA
E657_169,NA,0.20933,NA,NA
E828_275,0.343,NA,NA,NA
E924_202,NA,0.25095,NA,NA
E700_745,0.93569,NA,NA,NA
E412_286,NA,0.35687,NA,NA
E330_541,NA,NA,NA,0.67844
E177_373,0.46658,NA,NA,NA
E376_516,NA,0.64691,NA,NA
E857_60,0.07188,NA,NA,NA
E216_124,NA,0.15259,NA,NA
E213_56,NA,NA,NA,0.06683
E162_768,NA,0.96469,NA,NA
E207_762,0.95712,NA,NA,NA
E921_443,NA,0.55485,NA,NA
E136_288,NA,0.35939,NA,NA
E591_323,NA,NA,NA,0.40353
E663_384,NA,0.48045,NA,NA
E171_232,NA,0.28878,NA,NA
E912_571,NA,0.71627,NA,NA
E867_424,NA,NA,NA,0.5309
E741_571,NA,0.71627,NA,NA
E247_190,NA,NA,NA,0.23581
E474_429,NA,NA,0.5372,NA
E676_248,NA,0.30895,NA,NA
E243_97,NA,NA,0.11854,NA
E113_60,NA,0.07188,NA,NA
E45_356,0.44515,NA,NA,NA
E258_603,NA,NA,NA,0.75662
E853_361,NA,0.45145,NA,NA
E483_787,NA,NA,NA,0.98865
E728_109,NA,0.13367,NA,NA
E722_599,0.75158,NA,NA,NA
E386_79,NA,0.09584,NA,NA
E644_504,NA,0.63178,NA,NA
E220_190,NA,0.23581,NA,NA
E674_564,NA,0.70744,NA,NA
E556_734,NA,NA,NA,0.92182
E20_154,NA,NA,0.19042,NA
E55_444,NA,0.55612,NA,NA
E642_144,NA,NA,0.17781,NA
E31_430,NA,0.53846,NA,NA
E765_95,NA,0.11602,NA,NA
E876_132,NA,0.16267,NA,NA
E382_17,NA,NA,NA,0.01765
E732_724,NA,NA,0.90921,NA
E318_165,NA,NA,NA,0.20429
E400_520,NA,0.65195,NA,NA
E780_562,NA,0.70492,NA,NA
E465_205,NA,NA,0.25473,NA
E802_241,NA,0.30013,NA,NA
E66_547,NA,0.686,NA,NA
E688_583,NA,NA,NA,0.7314
E463_34,NA,0.03909,NA,NA
E229_644,NA,0.80832,NA,NA
E364_575,NA,NA,NA,0.72131
E241_405,NA,NA,NA,0.50694
E32_729,NA,0.91551,NA,NA
E62_597,NA,0.74905,NA,NA
E124_224,NA,0.27869,NA,NA
E879_746,NA,NA,NA,0.93695
E740_450,NA,NA,0.56368,NA
E605_456,NA,NA,NA,0.57125
E74_663,0.83228,NA,NA,NA
E163_382,NA,NA,NA,0.47793
E450_262,NA,NA,NA,0.32661
E371_456,NA,NA,0.57125,NA
E971_476,0.59647,NA,NA,NA
E83_523,NA,0.65574,NA,NA
E918_364,NA,0.45523,NA,NA
E356_360,NA,NA,0.45019,NA
E595_239,NA,NA,NA,0.2976
E805_64,NA,0.07692,NA,NA
E714_135,NA,0.16646,NA,NA
E598_282,0.35183,NA,NA,NA
E259_570,NA,0.71501,NA,NA
E39_332,NA,NA,NA,0.41488
E146_346,NA,NA,0.43253,NA
E782_359,0.44893,NA,NA,NA
E227_152,NA,0.18789,NA,NA
E838_47,0.05549,NA,NA,NA
E564_291,0.36318,NA,NA,NA
E234_114,NA,NA,0.13997,NA
E859_727,NA,0.91299,NA,NA
E632_534,0.66961,NA,NA,NA
E8_693,0.87011,NA,NA,NA
E661_357,NA,0.44641,NA,NA
E99_268,NA,0.33417,NA,NA
E221_679,NA,NA,0.85246,NA
E585_216,NA,0.2686,NA,NA
E792_143,NA,NA,0.17654,NA
E91_207,NA,NA,0.25725,NA
E815_136,NA,0.16772,NA,NA
E764_73,NA,0.08827,NA,NA
E253_187,NA,NA,NA,0.23203
E3_718,NA,NA,NA,0.90164
E554_774,NA,NA,0.97226,NA
E106_38,NA,0.04414,NA,NA
E184_427,0.53468,NA,NA,NA
E368_126,NA,0.15511,NA,NA
E291_320,NA,0.39975,NA,NA
E541_577,NA,0.72383,NA,NA
E898_635,NA,NA,0.79697,NA
E968_58,NA,0.06936,NA,NA
E996_361,0.45145,NA,NA,NA
E584_655,0.82219,NA,NA,NA
E498_287,NA,0.35813,NA,NA
E203_687,0.86255,NA,NA,NA
E452_649,0.81463,NA,NA,NA
E557_160,NA,NA,NA,0.19798
E668_446,0.55864,NA,NA,NA
E296_539,NA,NA,0.67591,NA
E854_307,NA,NA,NA,0.38335
E125_581,NA,NA,NA,0.72888
E993_477,NA,NA,NA,0.59773
E752_311,NA,0.3884,NA,NA
E771_84,NA,0.10214,NA,NA
E500_616,NA,NA,NA,0.77301
E597_241,NA,NA,0.30013,NA
E510_276,NA,NA,NA,0.34426
E26_466,NA,0.58386,NA,NA
E588_602,NA,0.75536,NA,NA
E273_111,0.13619,NA,NA,NA
E943_748,NA,0.93947,NA,NA
E681_466,NA,NA,0.58386,NA
E195_322,NA,0.40227,NA,NA
E790_477,NA,0.59773,NA,NA
E347_579,NA,0.72636,NA,NA
E537_52,0.06179,NA,NA,NA
E478_503,NA,0.63052,NA,NA
E745_89,0.10845,NA,NA,NA
E888_156,NA,NA,NA,0.19294
E747_681,NA,NA,NA,0.85498
E533_29,NA,NA,NA,0.03279
E480_550,NA,0.68979,NA,NA
E804_620,NA,0.77806,NA,NA
E781_358,NA,0.44767,NA,NA
E982_291,NA,NA,NA,0.36318
E11_58,NA,NA,NA,0.06936
E408_356,NA,NA,NA,0.44515
E424_191,NA,0.23707,NA,NA
E654_500,NA,0.62673,NA,NA
E313_435,NA,NA,0.54477,NA
E7_236,NA,NA,0.29382,NA
E468_414,NA,NA,NA,0.51828
E962_629,NA,0.78941,NA,NA
E133_450,NA,0.56368,NA,NA
E775_219,NA,0.27238,NA,NA
E953_555,NA,0.69609,NA,NA
E33_202,NA,0.25095,NA,NA
E317_316,NA,NA,NA,0.3947
E955_184,NA,0.22825,NA,NA
E779_294,NA,0.36696,NA,NA
E528_614,NA,0.77049,NA,NA
E525_150,NA,NA,NA,0.18537
E196_475,NA,0.59521,NA,NA
E373_199,NA,0.24716,NA,NA
E429_722,NA,NA,NA,0.90668
E553_202,NA,NA,NA,0.25095
E129_532,NA,NA,NA,0.66709
E154_231,NA,0.28752,NA,NA
E677_438,NA,NA,0.54855,NA
E437_207,NA,0.25725,NA,NA
E459_326,0.40731,NA,NA,NA
E956_551,NA,NA,NA,0.69105
E900_59,NA,0.07062,NA,NA
E297_470,NA,0.5889,NA,NA
E47_436,NA,0.54603,NA,NA
E419_566,NA,0.70996,NA,NA
E183_397,NA,0.49685,NA,NA
E290_404,NA,NA,0.50567,NA
E342_504,NA,0.63178,NA,NA
E669_213,NA,0.26482,NA,NA
E547_84,NA,0.10214,NA,NA
E515_110,NA,0.13493,NA,NA
E906_561,NA,0.70366,NA,NA
E753_427,NA,0.53468,NA,NA
E248_302,NA,0.37705,NA,NA
E675_652,NA,NA,0.81841,NA
E145_340,NA,NA,NA,0.42497
E285_295,NA,0.36822,NA,NA
E707_84,NA,0.10214,NA,NA
