,cl
E0,3
E1,1
E2,1
E3,0
E4,1
E5,1
E6,1
E7,3
E8,2
E9,1
E10,0
E11,0
E12,1
E13,1
E14,2
E15,1
E16,0
E17,1
E18,1
E19,0
E20,3
E21,1
E22,0
E23,1
E24,0
E25,1
E26,1
E27,0
E28,1
E29,3
E30,2
E31,1
E32,1
E33,1
E34,0
E35,1
E36,3
E37,3
E38,1
E39,0
E40,1
E41,0
E42,1
E43,3
E44,1
E45,2
E46,1
E47,1
E48,2
E49,2
E50,1
E51,1
E52,1
E53,0
E54,2
E55,1
E56,1
E57,0
E58,1
E59,1
E60,1
E61,1
E62,1
E63,3
E64,0
E65,1
E66,1
E67,0
E68,2
E69,0
E70,1
E71,1
E72,0
E73,1
E74,2
E75,2
E76,0
E77,3
E78,0
E79,1
E80,0
E81,0
E82,1
E83,1
E84,0
E85,0
E86,0
E87,1
E88,2
E89,3
E90,1
E91,3
E92,1
E93,1
E94,1
E95,0
E96,2
E97,1
E98,1
E99,1
E100,0
E101,1
E102,1
E103,2
E104,0
E105,3
E106,1
E107,1
E108,1
E109,1
E110,0
E111,1
E112,1
E113,1
E114,1
E115,0
E116,0
E117,0
E118,1
E119,1
E120,2
E121,2
E122,0
E123,0
E124,1
E125,0
E126,0
E127,1
E128,1
E129,0
E130,1
E131,0
E132,2
E133,1
E134,1
E135,1
E136,1
E137,3
E138,1
E139,1
E140,1
E141,1
E142,0
E143,0
E144,0
E145,0
E146,3
E147,3
E148,1
E149,0
E150,3
E151,3
E152,1
E153,1
E154,1
E155,0
E156,3
E157,1
E158,2
E159,1
E160,1
E161,1
E162,1
E163,0
E164,1
E165,0
E166,1
E167,1
E168,1
E169,1
E170,3
E171,1
E172,0
E173,1
E174,0
E175,1
E176,3
E177,2
E178,1
E179,1
E180,0
E181,1
E182,1
E183,1
E184,2
E185,0
E186,1
E187,0
E188,3
E189,1
E190,0
E191,2
E192,1
E193,1
E194,0
E195,1
E196,1
E197,0
E198,0
E199,1
E200,1
E201,0
E202,1
E203,2
E204,0
E205,1
E206,0
E207,2
E208,1
E209,3
E210,1
E211,3
E212,1
E213,0
E214,0
E215,0
E216,1
E217,0
E218,1
E219,0
E220,1
E221,3
E222,1
E223,1
E224,1
E225,3
E226,0
E227,1
E228,2
E229,1
E230,0
E231,0
E232,3
E233,1
E234,3
E235,0
E236,1
E237,2
E238,0
E239,1
E240,1
E241,0
E242,2
E243,3
E244,0
E245,1
E246,0
E247,0
E248,1
E249,3
E250,1
E251,1
E252,2
E253,0
E254,0
E255,2
E256,1
E257,1
E258,0
E259,1
E260,1
E261,3
E262,0
E263,1
E264,1
E265,3
E266,3
E267,2
E268,0
E269,0
E270,1
E271,0
E272,0
E273,2
E274,1
E275,1
E276,2
E277,1
E278,1
E279,1
E280,0
E281,1
E282,1
E283,3
E284,0
E285,1
E286,1
E287,1
E288,1
E289,0
E290,3
E291,1
E292,2
E293,1
E294,2
E295,1
E296,3
E297,1
