,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E716_512,NA,NA,0.6407,NA
E525_98,0.1206,NA,NA,NA
E998_772,NA,0.96734,NA,NA
E152_574,NA,0.71859,NA,NA
E310_264,NA,0.32915,NA,NA
E907_702,0.8794,NA,NA,NA
E400_361,NA,0.45101,NA,NA
E340_715,0.89573,NA,NA,NA
E945_536,0.67085,NA,NA,NA
E216_444,NA,0.55528,NA,NA
E897_685,NA,NA,NA,0.85804
E851_699,NA,NA,0.87563,NA
E746_168,NA,0.20854,NA,NA
E799_187,NA,0.23241,NA,NA
E419_603,NA,0.75503,NA,NA
E277_446,NA,0.55779,NA,NA
E905_301,0.37563,NA,NA,NA
E251_343,NA,0.42839,NA,NA
E587_325,NA,NA,0.40578,NA
E125_256,0.3191,NA,NA,NA
E481_32,NA,0.03769,NA,NA
E443_456,0.57035,NA,NA,NA
E163_662,0.82915,NA,NA,NA
E161_102,NA,0.12563,NA,NA
E475_113,0.13945,NA,NA,NA
E937_196,NA,0.24372,NA,NA
E625_152,NA,NA,0.18844,NA
E789_355,0.44347,NA,NA,NA
E585_353,NA,0.44095,NA,NA
E411_528,NA,0.6608,NA,NA
E894_213,NA,0.26508,NA,NA
E599_759,NA,NA,0.95101,NA
E782_716,NA,NA,0.89698,NA
E263_364,NA,0.45477,NA,NA
E484_55,NA,NA,NA,0.06658
E822_744,0.93216,NA,NA,NA
E588_782,NA,0.9799,NA,NA
E867_481,0.60176,NA,NA,NA
E485_566,NA,0.70854,NA,NA
E873_586,NA,NA,0.73367,NA
E41_425,0.53141,NA,NA,NA
E810_781,NA,0.97864,NA,NA
E439_177,NA,0.21985,NA,NA
E47_15,NA,0.01633,NA,NA
E519_604,NA,NA,0.75628,NA
E786_706,0.88442,NA,NA,NA
E343_209,NA,NA,NA,0.26005
E996_287,NA,NA,0.35804,NA
E779_443,NA,0.55402,NA,NA
E826_275,0.34296,NA,NA,NA
E232_490,NA,NA,NA,0.61307
E75_583,NA,NA,0.7299,NA
E735_59,NA,0.07161,NA,NA
E622_196,0.24372,NA,NA,NA
E471_291,NA,NA,0.36307,NA
E18_16,NA,0.01759,NA,NA
E117_106,0.13065,NA,NA,NA
E890_275,NA,0.34296,NA,NA
E681_158,NA,NA,NA,0.19598
E238_660,0.82663,NA,NA,NA
E673_439,NA,0.54899,NA,NA
E560_605,NA,0.75754,NA,NA
E619_334,NA,0.41709,NA,NA
E87_703,NA,0.88065,NA,NA
E946_497,NA,0.62186,NA,NA
E168_199,NA,0.24749,NA,NA
E934_323,NA,0.40327,NA,NA
E915_652,NA,NA,0.81658,NA
E38_129,NA,0.15955,NA,NA
E185_413,0.51633,NA,NA,NA
E173_366,NA,0.45729,NA,NA
E512_772,NA,0.96734,NA,NA
E303_75,0.09171,NA,NA,NA
E696_225,NA,0.28015,NA,NA
E848_500,NA,NA,0.62563,NA
E414_160,NA,0.19849,NA,NA
E476_65,0.07915,NA,NA,NA
E433_351,0.43844,NA,NA,NA
E991_181,0.22487,NA,NA,NA
E21_249,NA,0.3103,NA,NA
E596_170,NA,0.21106,NA,NA
E988_454,0.56784,NA,NA,NA
E456_524,0.65578,NA,NA,NA
E339_657,NA,0.82286,NA,NA
E944_198,NA,0.24623,NA,NA
E426_342,0.42714,NA,NA,NA
E435_367,0.45854,NA,NA,NA
E538_240,0.29899,NA,NA,NA
E217_600,0.75126,NA,NA,NA
E430_39,NA,0.04648,NA,NA
E593_617,NA,0.77261,NA,NA
E892_353,NA,NA,NA,0.44095
E286_176,NA,0.21859,NA,NA
E535_9,0.00879,NA,NA,NA
E432_78,NA,0.09548,NA,NA
E600_342,NA,0.42714,NA,NA
E159_789,NA,0.98869,NA,NA
E119_14,NA,0.01508,NA,NA
E418_97,NA,NA,0.11935,NA
E235_234,0.29146,NA,NA,NA
E994_87,NA,0.10678,NA,NA
E203_125,NA,NA,0.15452,NA
E513_545,NA,0.68216,NA,NA
E169_745,NA,0.93342,NA,NA
E142_258,0.32161,NA,NA,NA
E626_445,NA,0.55653,NA,NA
E536_741,NA,0.92839,NA,NA
E284_478,0.59799,NA,NA,NA
E191_586,NA,NA,0.73367,NA
E955_413,NA,0.51633,NA,NA
E636_530,NA,0.66332,NA,NA
E919_70,NA,0.08543,NA,NA
E451_426,NA,NA,NA,0.53266
E404_617,NA,NA,0.77261,NA
E213_202,0.25126,NA,NA,NA
E68_611,NA,NA,0.76508,NA
E732_523,NA,NA,NA,0.65452
E239_37,NA,0.04397,NA,NA
E56_544,NA,0.6809,NA,NA
E608_360,NA,0.44975,NA,NA
E730_790,NA,NA,NA,0.98995
E45_562,NA,NA,0.70352,NA
E450_215,0.26759,NA,NA,NA
E268_308,0.38442,NA,NA,NA
E231_192,0.23869,NA,NA,NA
E506_447,NA,NA,NA,0.55905
E840_115,0.14196,NA,NA,NA
E923_78,NA,0.09548,NA,NA
E865_96,NA,0.11809,NA,NA
E73_507,NA,0.63442,NA,NA
E328_42,NA,0.05025,NA,NA
E776_416,0.5201,NA,NA,NA
E884_502,NA,0.62814,NA,NA
E288_602,NA,0.75377,NA,NA
E342_514,NA,0.64322,NA,NA
E592_484,NA,NA,NA,0.60553
E107_536,NA,0.67085,NA,NA
E839_287,NA,0.35804,NA,NA
E875_508,0.63568,NA,NA,NA
E881_265,NA,NA,0.3304,NA
E272_687,0.86055,NA,NA,NA
E459_738,NA,NA,0.92462,NA
E301_182,0.22613,NA,NA,NA
E949_688,NA,0.86181,NA,NA
E501_555,NA,0.69472,NA,NA
