,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E955_722,0.90464,NA,NA,NA
E140_160,0.1995,NA,NA,NA
E689_6,NA,NA,NA,0.00627
E757_1,0.0,NA,NA,NA
E402_680,0.85194,NA,NA,NA
E169_714,0.8946,NA,NA,NA
E691_494,0.61857,NA,NA,NA
E987_394,NA,0.4931,NA,NA
E388_29,NA,NA,0.03513,NA
E783_58,NA,NA,0.07152,NA
E895_486,NA,NA,0.60853,NA
E897_51,NA,NA,NA,0.06274
E74_766,NA,0.95985,NA,NA
E949_527,0.65997,NA,NA,NA
E579_186,0.23212,NA,NA,NA
E265_82,NA,NA,NA,0.10163
E188_61,NA,0.07528,NA,NA
E715_364,0.45546,NA,NA,NA
E263_776,0.9724,NA,NA,NA
E333_207,NA,NA,0.25847,NA
E319_496,0.62108,NA,NA,NA
E835_629,0.78795,NA,NA,NA
E163_735,NA,NA,0.92095,NA
E927_192,NA,NA,0.23965,NA
E195_547,0.68507,NA,NA,NA
E272_570,NA,NA,0.71393,NA
E231_252,NA,NA,0.31493,NA
E489_794,0.99498,NA,NA,NA
E649_680,0.85194,NA,NA,NA
E229_796,0.99749,NA,NA,NA
E483_640,NA,NA,0.80176,NA
E93_139,0.17315,NA,NA,NA
E128_496,0.62108,NA,NA,NA
E600_536,0.67127,NA,NA,NA
E3_568,NA,NA,0.71142,NA
E667_433,NA,NA,0.54203,NA
E876_287,0.35885,NA,NA,NA
E373_366,0.45797,NA,NA,NA
E573_752,0.94228,NA,NA,NA
E751_511,0.6399,NA,NA,NA
E815_91,0.11292,NA,NA,NA
E514_280,NA,0.35006,NA,NA
E279_778,0.97491,NA,NA,NA
E438_295,NA,NA,0.36888,NA
E295_742,0.92974,NA,NA,NA
E993_685,NA,NA,0.85822,NA
E452_23,NA,NA,NA,0.0276
E49_452,NA,NA,NA,0.56587
E183_277,0.3463,NA,NA,NA
E189_511,0.6399,NA,NA,NA
E17_259,0.32371,NA,NA,NA
E601_39,NA,NA,NA,0.04768
E971_769,NA,NA,NA,0.96361
E643_618,0.77415,NA,NA,NA
E81_538,NA,NA,0.67378,NA
E76_560,NA,NA,0.70138,NA
E509_551,0.69009,NA,NA,NA
E330_302,NA,NA,0.37767,NA
E745_541,NA,0.67754,NA,NA
E647_588,NA,NA,0.73651,NA
E620_213,NA,NA,NA,0.266
E819_30,NA,NA,0.03639,NA
E153_771,0.96612,NA,NA,NA
E628_99,NA,NA,NA,0.12296
E6_242,0.30238,NA,NA,NA
E243_236,NA,0.29486,NA,NA
E126_565,NA,NA,0.70765,NA
E357_214,NA,0.26725,NA,NA
E652_68,0.08407,NA,NA,NA
E37_202,NA,NA,NA,0.2522
E355_99,0.12296,NA,NA,NA
E700_599,NA,0.75031,NA,NA
E33_31,0.03764,NA,NA,NA
E943_166,NA,0.20703,NA,NA
E92_195,0.24341,NA,NA,NA
E368_737,0.92346,NA,NA,NA
E97_520,0.65119,NA,NA,NA
E270_239,0.29862,NA,NA,NA
E144_698,NA,NA,0.87453,NA
E209_105,NA,NA,NA,0.13049
E149_650,NA,NA,0.8143,NA
E110_266,NA,NA,0.3325,NA
E200_770,0.96487,NA,NA,NA
E450_179,NA,NA,0.22334,NA
E724_521,NA,0.65245,NA,NA
E461_355,NA,NA,NA,0.44417
E344_305,0.38143,NA,NA,NA
E121_475,NA,0.59473,NA,NA
E356_249,NA,0.31117,NA,NA
E429_475,NA,NA,0.59473,NA
E375_326,0.40778,NA,NA,NA
E931_735,0.92095,NA,NA,NA
E609_725,0.90841,NA,NA,NA
E857_286,NA,0.35759,NA,NA
E918_782,0.97992,NA,NA,NA
E878_254,0.31744,NA,NA,NA
E456_64,NA,NA,0.07905,NA
E176_75,NA,NA,NA,0.09285
E925_362,0.45295,NA,NA,NA
E365_794,0.99498,NA,NA,NA
E746_12,0.0138,NA,NA,NA
E488_692,0.867,NA,NA,NA
E622_542,NA,NA,0.6788,NA
E644_709,0.88833,NA,NA,NA
E779_469,0.5872,NA,NA,NA
E462_202,0.2522,NA,NA,NA
E389_37,0.04517,NA,NA,NA
E725_60,NA,NA,0.07403,NA
E408_20,NA,NA,0.02384,NA
E79_69,0.08532,NA,NA,NA
E380_522,0.6537,NA,NA,NA
E383_5,0.00502,NA,NA,NA
E315_506,NA,NA,0.63363,NA
E504_697,NA,0.87327,NA,NA
E361_43,NA,0.0527,NA,NA
E358_467,NA,NA,0.58469,NA
E476_188,NA,NA,0.23463,NA
E233_435,0.54454,NA,NA,NA
E953_289,0.36136,NA,NA,NA
E947_620,0.77666,NA,NA,NA
E232_9,NA,0.01004,NA,NA
E664_633,NA,NA,NA,0.79297
E902_271,0.33877,NA,NA,NA
E672_390,NA,NA,0.48808,NA
E180_672,NA,NA,0.84191,NA
E179_791,0.99122,NA,NA,NA
E811_76,NA,NA,0.0941,NA
E487_671,0.84065,NA,NA,NA
E688_636,NA,NA,0.79674,NA
E588_656,0.82183,NA,NA,NA
E138_365,0.45671,NA,NA,NA
E523_722,0.90464,NA,NA,NA
E293_32,0.0389,NA,NA,NA
E371_235,NA,NA,NA,0.2936
E854_64,NA,NA,0.07905,NA
E26_682,0.85445,NA,NA,NA
E136_539,0.67503,NA,NA,NA
E264_784,0.98243,NA,NA,NA
E625_236,NA,0.29486,NA,NA
E337_659,0.8256,NA,NA,NA
E596_512,0.64115,NA,NA,NA
E354_755,NA,NA,0.94605,NA
E583_582,0.72898,NA,NA,NA
E533_227,NA,NA,0.28356,NA
E339_497,0.62233,NA,NA,NA
E351_438,0.54831,NA,NA,NA
E741_355,0.44417,NA,NA,NA
E317_142,NA,NA,0.17691,NA
E481_436,0.5458,NA,NA,NA
E77_44,NA,NA,NA,0.05395
E403_277,0.3463,NA,NA,NA
E271_264,NA,NA,0.32999,NA
E167_400,0.50063,NA,NA,NA
E790_285,0.35634,NA,NA,NA
E795_726,NA,NA,0.90966,NA
E884_63,0.07779,NA,NA,NA
E470_501,NA,0.62735,NA,NA
E651_793,0.99373,NA,NA,NA
E343_292,NA,0.36512,NA,NA
E554_219,NA,NA,NA,0.27353
E60_378,0.47302,NA,NA,NA
E642_355,NA,0.44417,NA,NA
E336_457,NA,0.57215,NA,NA
E413_675,NA,NA,0.84567,NA
E784_564,NA,NA,0.7064,NA
E14_486,NA,NA,NA,0.60853
E809_540,NA,NA,NA,0.67629
E972_656,0.82183,NA,NA,NA
E986_790,NA,0.98996,NA,NA
E720_349,NA,0.43664,NA,NA
E624_353,NA,NA,0.44166,NA
E401_300,NA,NA,NA,0.37516
E440_172,0.21455,NA,NA,NA
E378_740,0.92723,NA,NA,NA
E831_634,NA,0.79423,NA,NA
E637_1,0.0,NA,NA,NA
E808_678,0.84944,NA,NA,NA
E929_77,NA,NA,0.09536,NA
E744_132,NA,NA,0.16437,NA
E692_52,NA,NA,0.06399,NA
E177_323,NA,NA,NA,0.40402
