,cl
E0,3
E1,0
E2,0
E3,1
E4,0
E5,1
E6,0
E7,2
E8,2
E9,0
E10,1
E11,1
E12,0
E13,0
E14,3
E15,0
E16,1
E17,0
E18,0
E19,1
E20,2
E21,0
E22,1
E23,0
E24,1
E25,0
E26,0
E27,1
E28,0
E29,3
E30,3
E31,0
E32,0
E33,0
E34,1
E35,0
E36,2
E37,3
E38,0
E39,1
E40,0
E41,1
E42,2
E43,3
E44,0
E45,2
E46,0
E47,0
E48,2
E49,3
E50,0
E51,0
E52,0
E53,1
E54,3
E55,0
E56,0
E57,1
E58,0
E59,0
E60,0
E61,0
E62,0
E63,3
E64,1
E65,0
E66,0
E67,1
E68,2
E69,1
E70,0
E71,0
E72,1
E73,0
E74,2
E75,2
E76,1
E77,3
E78,1
E79,0
E80,1
E81,1
E82,0
E83,0
E84,1
E85,1
E86,1
E87,0
E88,2
E89,2
E90,0
E91,2
E92,0
E93,0
E94,0
E95,1
E96,2
E97,0
E98,0
E99,0
E100,1
E101,0
E102,0
E103,2
E104,1
E105,2
E106,0
E107,0
E108,0
E109,0
E110,1
E111,0
E112,0
E113,0
E114,0
E115,1
E116,1
E117,1
E118,0
E119,0
E120,2
E121,2
E122,1
E123,1
E124,0
E125,1
E126,1
E127,0
E128,0
E129,1
E130,0
E131,1
E132,3
E133,0
E134,0
E135,0
E136,0
E137,3
E138,0
E139,0
E140,0
E141,0
E142,1
E143,1
E144,1
E145,1
E146,2
E147,3
E148,0
E149,1
E150,2
E151,3
E152,0
E153,0
E154,0
E155,1
E156,3
E157,0
E158,2
E159,0
E160,0
E161,0
E162,0
E163,1
E164,0
E165,1
E166,0
E167,0
E168,0
E169,0
E170,3
E171,0
E172,1
E173,0
E174,1
E175,0
E176,3
E177,3
E178,0
E179,0
E180,1
E181,0
E182,0
E183,0
E184,3
E185,1
E186,0
E187,1
E188,2
E189,0
E190,1
E191,2
E192,0
E193,0
E194,1
E195,0
E196,0
E197,1
E198,1
E199,1
E200,0
E201,1
E202,0
E203,3
E204,1
E205,0
E206,1
E207,2
E208,0
E209,3
E210,0
E211,2
E212,0
E213,1
E214,1
E215,1
E216,0
E217,1
E218,0
E219,1
E220,0
E221,2
E222,0
E223,0
E224,0
E225,2
E226,1
E227,0
E228,0
E229,0
E230,1
E231,1
E232,2
E233,0
E234,3
E235,1
E236,1
E237,2
E238,1
E239,0
E240,0
E241,1
E242,2
E243,2
E244,1
E245,0
E246,1
E247,1
E248,0
E249,0
E250,0
E251,0
E252,3
E253,1
E254,1
E255,3
E256,0
E257,0
E258,1
E259,0
E260,0
E261,2
E262,1
E263,0
E264,0
E265,3
E266,0
E267,3
E268,1
E269,1
E270,0
E271,1
E272,1
E273,2
E274,0
E275,0
E276,2
E277,0
E278,0
E279,0
E280,1
E281,0
E282,0
E283,2
E284,1
E285,0
E286,0
E287,0
E288,0
E289,1
E290,2
E291,0
E292,3
E293,0
E294,3
E295,0
E296,3
E297,0
E298,0
E299,0
E300,2
E301,1
E302,3
E303,1
E304,2
E305,0
E306,1
E307,2
E308,0
E309,1
E310,0
E311,0
E312,0
E313,2
E314,0
E315,1
E316,0
E317,1
E318,1
E319,0
E320,2
E321,3
E322,2
E323,1
E324,1
E325,0
E326,0
E327,0
E328,0
E329,2
E330,1
E331,0
E332,0
E333,1
E334,0
E335,3
E336,2
E337,0
E338,0
E339,0
E340,1
E341,1
E342,0
E343,2
E344,0
E345,1
E346,0
E347,0
E348,3
E349,0
E350,1
E351,0
E352,0
E353,0
E354,1
E355,0
E356,2
E357,2
E358,1
E359,2
E360,0
E361,2
E362,2
E363,0
E364,1
E365,0
E366,1
E367,0
E368,0
E369,1
E370,0
E371,3
E372,1
E373,0
E374,0
E375,0
E376,0
E377,2
E378,0
E379,0
E380,0
E381,0
E382,1
E383,0
E384,1
E385,1
E386,0
E387,3
E388,1
E389,0
E390,0
E391,1
E392,1
E393,3
E394,1
E395,2
E396,0
E397,3
E398,2
E399,0
E400,0
E401,2
E402,0
E403,0
E404,2
E405,0
E406,1
E407,0
E408,1
E409,3
E410,2
E411,0
E412,0
E413,1
E414,0
E415,2
E416,0
E417,3
E418,3
E419,0
E420,0
E421,0
E422,3
E423,1
E424,0
E425,1
E426,1
E427,2
E428,0
E429,1
E430,0
E431,3
E432,0
E433,1
E434,0
E435,1
E436,0
E437,0
E438,1
E439,0
E440,0
E441,0
E442,0
E443,1
E444,1
E445,2
E446,0
E447,0
E448,2
E449,0
E450,1
E451,2
E452,2
E453,2
E454,0
E455,2
E456,1
E457,2
E458,0
E459,3
E460,1
E461,3
E462,0
E463,0
E464,3
E465,2
E466,0
E467,1
E468,1
E469,0
E470,2
E471,2
E472,1
E473,0
E474,2
E475,1
E476,1
E477,0
E478,0
E479,2
E480,0
E481,0
E482,1
E483,1
E484,3
E485,0
E486,0
E487,0
E488,0
E489,0
E490,0
E491,0
E492,1
E493,1
E494,0
E495,0
E496,1
E497,2
E498,0
E499,3
E500,1
E501,0
E502,1
E503,0
E504,2
E505,2
E506,3
E507,0
E508,0
E509,0
E510,1
E511,0
E512,0
E513,0
E514,2
E515,0
E516,0
E517,0
E518,0
E519,3
E520,0
E521,0
E522,0
E523,0
E524,0
E525,1
E526,0
E527,1
E528,0
E529,1
E530,0
E531,0
E532,0
E533,1
E534,0
E535,1
E536,0
E537,2
E538,1
E539,0
E540,1
E541,0
E542,0
E543,0
E544,0
E545,0
E546,3
E547,0
E548,0
E549,1
E550,0
E551,0
E552,2
E553,1
E554,3
E555,0
E556,1
