,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E76_182,NA,0.22767,NA,NA
E395_565,NA,NA,0.70943,NA
E198_719,NA,0.90314,NA,NA
E971_306,NA,NA,NA,0.38365
E28_572,0.71824,NA,NA,NA
E267_24,NA,NA,NA,0.02893
E10_70,NA,0.08679,NA,NA
E556_358,NA,0.44906,NA,NA
E53_150,NA,0.18742,NA,NA
E618_446,NA,0.55975,NA,NA
E985_361,NA,0.45283,NA,NA
E946_556,0.69811,NA,NA,NA
E815_286,0.35849,NA,NA,NA
E995_712,0.89434,NA,NA,NA
E449_74,0.09182,NA,NA,NA
E331_785,0.98616,NA,NA,NA
E736_427,NA,NA,NA,0.53585
E175_131,0.16352,NA,NA,NA
E754_130,0.16226,NA,NA,NA
E234_185,NA,NA,NA,0.23145
E318_695,NA,0.87296,NA,NA
E253_769,NA,0.96604,NA,NA
E166_381,0.47799,NA,NA,NA
E832_242,NA,NA,NA,0.30314
E168_100,0.12453,NA,NA,NA
E260_201,0.25157,NA,NA,NA
E19_774,NA,0.97233,NA,NA
E352_300,0.3761,NA,NA,NA
E98_203,0.25409,NA,NA,NA
E124_636,0.79874,NA,NA,NA
E833_471,0.59119,NA,NA,NA
E684_638,0.80126,NA,NA,NA
E936_551,NA,0.69182,NA,NA
E935_389,NA,0.48805,NA,NA
E144_56,NA,0.06918,NA,NA
E580_400,0.50189,NA,NA,NA
E306_612,NA,0.76855,NA,NA
E374_673,0.84528,NA,NA,NA
E857_236,NA,NA,0.2956,NA
E862_40,0.04906,NA,NA,NA
E578_523,0.6566,NA,NA,NA
E508_20,0.0239,NA,NA,NA
E11_172,NA,0.21509,NA,NA
E74_30,NA,NA,0.03648,NA
E521_307,0.38491,NA,NA,NA
E255_278,NA,NA,NA,0.34843
E866_236,NA,NA,0.2956,NA
E931_599,0.7522,NA,NA,NA
E342_267,0.33459,NA,NA,NA
E481_116,0.14465,NA,NA,NA
E256_603,0.75723,NA,NA,NA
E245_253,0.31698,NA,NA,NA
E313_560,NA,NA,0.70314,NA
E112_566,0.71069,NA,NA,NA
E14_620,NA,NA,NA,0.77862
E330_120,NA,0.14969,NA,NA
E452_207,NA,NA,0.25912,NA
E875_246,NA,0.30818,NA,NA
E616_613,NA,0.76981,NA,NA
E789_688,NA,0.86415,NA,NA
E232_195,NA,NA,0.24403,NA
E714_113,0.14088,NA,NA,NA
E226_733,NA,0.92075,NA,NA
E525_464,NA,0.58239,NA,NA
E548_279,0.34969,NA,NA,NA
E172_389,NA,0.48805,NA,NA
E675_652,NA,NA,NA,0.81887
E728_509,0.63899,NA,NA,NA
E889_213,0.26667,NA,NA,NA
E443_680,NA,0.85409,NA,NA
E129_211,NA,0.26415,NA,NA
E21_660,0.82893,NA,NA,NA
E435_560,NA,0.70314,NA,NA
E640_664,NA,NA,0.83396,NA
E854_706,NA,0.88679,NA,NA
E867_422,NA,0.52956,NA,NA
E996_130,NA,NA,NA,0.16226
E263_332,0.41635,NA,NA,NA
E118_434,0.54465,NA,NA,NA
E819_662,NA,0.83145,NA,NA
E882_219,0.27421,NA,NA,NA
E5_62,NA,0.07673,NA,NA
E417_194,NA,NA,NA,0.24277
E143_18,NA,0.02138,NA,NA
E671_527,0.66164,NA,NA,NA
E678_666,0.83648,NA,NA,NA
E755_312,NA,0.39119,NA,NA
E979_167,0.20881,NA,NA,NA
E178_393,0.49308,NA,NA,NA
E909_317,0.39748,NA,NA,NA
E454_436,0.54717,NA,NA,NA
E861_564,NA,NA,NA,0.70818
E68_361,NA,NA,0.45283,NA
E989_63,NA,NA,NA,0.07799
E859_740,0.92956,NA,NA,NA
E17_351,0.44025,NA,NA,NA
E344_54,0.06667,NA,NA,NA
E519_434,NA,NA,NA,0.54465
E152_472,0.59245,NA,NA,NA
E223_295,0.36981,NA,NA,NA
E949_218,0.27296,NA,NA,NA
E415_505,NA,NA,0.63396,NA
E631_527,0.66164,NA,NA,NA
E32_473,0.59371,NA,NA,NA
E838_294,NA,NA,NA,0.36855
E25_13,0.01509,NA,NA,NA
E3_427,NA,0.53585,NA,NA
E554_343,NA,NA,NA,0.43019
E84_504,NA,0.6327,NA,NA
E450_267,NA,0.33459,NA,NA
E766_148,0.18491,NA,NA,NA
E900_722,0.90692,NA,NA,NA
E639_339,NA,0.42516,NA,NA
E683_755,NA,0.94843,NA,NA
E498_743,0.93333,NA,NA,NA
E804_788,0.98994,NA,NA,NA
E994_708,0.88931,NA,NA,NA
E220_105,0.13082,NA,NA,NA
E388_461,NA,0.57862,NA,NA
E970_625,NA,NA,NA,0.78491
E959_292,0.36604,NA,NA,NA
E9_176,0.22013,NA,NA,NA
E425_174,NA,0.21761,NA,NA
E337_171,0.21384,NA,NA,NA
E391_155,NA,0.19371,NA,NA
E324_591,NA,0.74214,NA,NA
E729_407,NA,0.51069,NA,NA
E6_621,0.77987,NA,NA,NA
E622_233,NA,0.29182,NA,NA
E33_451,0.56604,NA,NA,NA
E876_321,0.40252,NA,NA,NA
E731_511,0.64151,NA,NA,NA
E297_59,0.07296,NA,NA,NA
E368_407,0.51069,NA,NA,NA
E990_468,0.58742,NA,NA,NA
E706_750,NA,NA,0.94214,NA
E734_365,0.45786,NA,NA,NA
E841_527,NA,0.66164,NA,NA
E139_594,0.74591,NA,NA,NA
E897_445,NA,NA,NA,0.55849
E410_57,NA,NA,0.07044,NA
E543_270,0.33836,NA,NA,NA
E694_632,0.79371,NA,NA,NA
E796_450,NA,0.56478,NA,NA
E54_15,NA,NA,NA,0.01761
E310_490,0.61509,NA,NA,NA
E849_611,0.7673,NA,NA,NA
E56_436,0.54717,NA,NA,NA
E332_712,0.89434,NA,NA,NA
E416_227,0.28428,NA,NA,NA
E426_474,NA,0.59497,NA,NA
E535_243,NA,0.3044,NA,NA
E663_89,0.11069,NA,NA,NA
E927_302,NA,0.37862,NA,NA
E630_650,NA,0.81635,NA,NA
E463_2,0.00126,NA,NA,NA
E958_188,NA,0.23522,NA,NA
E634_254,NA,0.31824,NA,NA
E961_616,NA,NA,0.77358,NA
E611_630,NA,NA,NA,0.79119
E925_175,0.21887,NA,NA,NA
E162_687,0.86289,NA,NA,NA
E757_395,0.4956,NA,NA,NA
E585_640,0.80377,NA,NA,NA
E142_214,NA,0.26792,NA,NA
E15_52,0.06415,NA,NA,NA
E562_91,NA,0.11321,NA,NA
E333_184,NA,0.23019,NA,NA
E494_63,0.07799,NA,NA,NA
E788_757,0.95094,NA,NA,NA
E403_27,0.0327,NA,NA,NA
E217_233,NA,0.29182,NA,NA
E23_220,0.27547,NA,NA,NA
E105_305,NA,NA,0.38239,NA
E155_374,NA,0.46918,NA,NA
E73_484,0.60755,NA,NA,NA
E918_102,0.12704,NA,NA,NA
E173_336,0.42138,NA,NA,NA
E952_159,NA,0.19874,NA,NA
E605_118,NA,0.14717,NA,NA
E526_774,0.97233,NA,NA,NA
E265_50,NA,NA,NA,0.06164
E384_373,NA,0.46792,NA,NA
E928_455,NA,NA,NA,0.57107
E496_391,NA,0.49057,NA,NA
E516_297,0.37233,NA,NA,NA
E668_32,NA,NA,NA,0.03899
E7_83,NA,NA,0.10314,NA
E786_443,NA,0.55597,NA,NA
E977_189,NA,0.23648,NA,NA
E778_32,0.03899,NA,NA,NA
E67_100,NA,0.12453,NA,NA
E474_278,NA,NA,0.34843,NA
E488_678,0.85157,NA,NA,NA
E150_328,NA,NA,0.41132,NA
E695_315,0.39497,NA,NA,NA
E999_54,0.06667,NA,NA,NA
E490_121,0.15094,NA,NA,NA
E109_200,0.25031,NA,NA,NA
E993_445,NA,0.55849,NA,NA
E497_267,NA,NA,0.33459,NA
E532_687,0.86289,NA,NA,NA
E809_398,NA,NA,NA,0.49937
E180_635,NA,0.79748,NA,NA
E341_511,NA,0.64151,NA,NA
E227_315,0.39497,NA,NA,NA
E528_477,0.59874,NA,NA,NA
E30_603,NA,NA,NA,0.75723
E771_705,0.88553,NA,NA,NA
E274_341,0.42767,NA,NA,NA
E58_233,0.29182,NA,NA,NA
E954_379,0.47547,NA,NA,NA
E204_291,NA,0.36478,NA,NA
E380_283,0.35472,NA,NA,NA
E604_642,NA,0.80629,NA,NA
E216_662,0.83145,NA,NA,NA
E811_417,NA,0.52327,NA,NA
E745_747,NA,NA,0.93836,NA
E201_706,NA,0.88679,NA,NA
E211_512,NA,NA,0.64277,NA
E37_748,NA,NA,NA,0.93962
E641_570,NA,0.71572,NA,NA
E602_779,NA,NA,0.97862,NA
E964_489,0.61384,NA,NA,NA
E287_347,0.43522,NA,NA,NA
E674_373,0.46792,NA,NA,NA
E822_309,NA,0.38742,NA,NA
E271_722,NA,0.90692,NA,NA
E348_702,NA,NA,NA,0.88176
E687_141,NA,0.1761,NA,NA
E773_507,NA,0.63648,NA,NA
E872_543,NA,NA,NA,0.68176
E319_631,0.79245,NA,NA,NA
E749_642,0.80629,NA,NA,NA
E393_554,NA,NA,NA,0.6956
E308_384,0.48176,NA,NA,NA
E311_632,0.79371,NA,NA,NA
E291_520,0.65283,NA,NA,NA
E46_244,0.30566,NA,NA,NA
E12_109,0.13585,NA,NA,NA
E692_159,NA,0.19874,NA,NA
E185_328,NA,0.41132,NA,NA
E369_289,NA,0.36226,NA,NA
E411_754,0.94717,NA,NA,NA
E367_734,0.92201,NA,NA,NA
E544_251,0.31447,NA,NA,NA
E746_446,0.55975,NA,NA,NA
E913_319,NA,0.4,NA,NA
E666_340,NA,0.42642,NA,NA
E302_677,NA,NA,NA,0.85031
E361_296,NA,NA,0.37107,NA
E696_143,0.17862,NA,NA,NA
E737_133,0.16604,NA,NA,NA
E865_577,0.72453,NA,NA,NA
E294_533,NA,NA,NA,0.66918
E910_642,NA,0.80629,NA,NA
E296_201,NA,NA,NA,0.25157
E529_249,NA,0.31195,NA,NA
E558_357,0.4478,NA,NA,NA
E266_668,0.83899,NA,NA,NA
E264_761,0.95597,NA,NA,NA
E239_467,0.58616,NA,NA,NA
E75_528,NA,NA,0.66289,NA
E555_782,0.98239,NA,NA,NA
E365_718,0.90189,NA,NA,NA
E592_764,NA,NA,NA,0.95975
E549_218,NA,0.27296,NA,NA
E573_674,0.84654,NA,NA,NA
E140_98,0.12201,NA,NA,NA
E581_183,0.22893,NA,NA,NA
E527_546,NA,0.68553,NA,NA
E376_762,0.95723,NA,NA,NA
E921_522,0.65535,NA,NA,NA
E676_493,0.61887,NA,NA,NA
E843_351,0.44025,NA,NA,NA
E730_537,NA,NA,NA,0.67421
E571_344,NA,0.43145,NA,NA
E345_652,NA,0.81887,NA,NA
E327_127,0.15849,NA,NA,NA
E839_93,0.11572,NA,NA,NA
E457_157,NA,NA,0.19623,NA
E680_290,NA,NA,0.36352,NA
E738_19,NA,NA,0.02264,NA
E424_455,0.57107,NA,NA,NA
E712_509,0.63899,NA,NA,NA
E646_53,0.06541,NA,NA,NA
E85_234,NA,0.29308,NA,NA
E858_460,0.57736,NA,NA,NA
E88_283,NA,NA,0.35472,NA
E236_411,NA,0.51572,NA,NA
E448_130,NA,NA,0.16226,NA
E986_560,NA,NA,0.70314,NA
E703_496,0.62264,NA,NA,NA
E506_488,NA,NA,NA,0.61258
E546_582,NA,NA,NA,0.73082
E375_490,0.61509,NA,NA,NA
E13_694,0.8717,NA,NA,NA
E350_650,NA,0.81635,NA,NA
E625_551,NA,NA,0.69182,NA
E430_73,0.09057,NA,NA,NA
E899_787,0.98868,NA,NA,NA
E122_470,NA,0.58994,NA,NA
E316_350,0.43899,NA,NA,NA
E396_690,0.86667,NA,NA,NA
E128_185,0.23145,NA,NA,NA
E104_762,NA,0.95723,NA,NA
E820_605,NA,0.75975,NA,NA
E972_16,0.01887,NA,NA,NA
E137_408,NA,NA,NA,0.51195
E632_526,NA,NA,NA,0.66038
E229_645,0.81006,NA,NA,NA
E394_398,NA,0.49937,NA,NA
E461_683,NA,NA,NA,0.85786
E219_251,NA,0.31447,NA,NA
E953_366,0.45912,NA,NA,NA
E212_115,0.1434,NA,NA,NA
E270_754,0.94717,NA,NA,NA
E484_309,NA,NA,NA,0.38742
E399_775,0.97358,NA,NA,NA
E366_605,NA,0.75975,NA,NA
E780_615,0.77233,NA,NA,NA
E95_364,NA,0.4566,NA,NA
E44_255,0.3195,NA,NA,NA
E565_86,0.10692,NA,NA,NA
E884_382,0.47925,NA,NA,NA
E560_430,NA,0.53962,NA,NA
E514_95,NA,NA,0.11824,NA
E642_181,NA,NA,0.22642,NA
E765_368,0.46164,NA,NA,NA
E860_69,0.08553,NA,NA,NA
E932_771,0.96855,NA,NA,NA
E689_376,NA,NA,NA,0.4717
E805_74,0.09182,NA,NA,NA
E612_482,NA,0.60503,NA,NA
E520_210,0.26289,NA,NA,NA
E798_277,0.34717,NA,NA,NA
E725_87,NA,0.10818,NA,NA
E792_752,NA,NA,0.94465,NA
E790_32,0.03899,NA,NA,NA
E483_253,NA,0.31698,NA,NA
E768_773,NA,0.97107,NA,NA
E539_522,0.65535,NA,NA,NA
E701_555,NA,NA,0.69686,NA
E470_757,NA,NA,0.95094,NA
E94_185,0.23145,NA,NA,NA
E767_762,0.95723,NA,NA,NA
E288_581,0.72956,NA,NA,NA
E823_47,NA,0.05786,NA,NA
E59_30,0.03648,NA,NA,NA
E460_677,NA,0.85031,NA,NA
E250_322,0.40377,NA,NA,NA
E130_499,0.62642,NA,NA,NA
E753_90,0.11195,NA,NA,NA
E307_273,NA,NA,0.34214,NA
E784_338,NA,0.4239,NA,NA
E147_631,NA,NA,NA,0.79245
E748_600,0.75346,NA,NA,NA
E293_776,0.97484,NA,NA,NA
E442_209,0.26164,NA,NA,NA
E301_6,NA,0.00629,NA,NA
E370_688,0.86415,NA,NA,NA
E476_416,NA,0.52201,NA,NA
E299_649,0.81509,NA,NA,NA
E966_204,NA,0.25535,NA,NA
E326_179,0.2239,NA,NA,NA
E471_668,NA,NA,0.83899,NA
E981_83,0.10314,NA,NA,NA
E887_327,NA,NA,0.41006,NA
E52_176,0.22013,NA,NA,NA
E761_189,0.23648,NA,NA,NA
E835_189,0.23648,NA,NA,NA
E47_496,0.62264,NA,NA,NA
E619_70,0.08679,NA,NA,NA
E257_178,0.22264,NA,NA,NA
E881_41,NA,NA,NA,0.05031
E146_237,NA,NA,0.29686,NA
E669_57,0.07044,NA,NA,NA
E769_744,0.93459,NA,NA,NA
E258_618,NA,0.7761,NA,NA
E699_610,NA,NA,0.76604,NA
E816_9,0.01006,NA,NA,NA
E295_782,0.98239,NA,NA,NA
E221_770,NA,NA,0.9673,NA
E852_418,NA,0.52453,NA,NA
E595_493,NA,0.61887,NA,NA
E2_87,0.10818,NA,NA,NA
E159_381,0.47799,NA,NA,NA
E545_527,0.66164,NA,NA,NA
E24_717,NA,0.90063,NA,NA
E277_139,0.17358,NA,NA,NA
E145_333,NA,0.41761,NA,NA
E933_626,0.78616,NA,NA,NA
E358_306,NA,0.38365,NA,NA
E637_44,0.05409,NA,NA,NA
E495_96,0.1195,NA,NA,NA
E983_242,NA,NA,0.30314,NA
E826_518,NA,0.65031,NA,NA
E456_754,NA,0.94717,NA,NA
E353_524,0.65786,NA,NA,NA
E739_287,0.35975,NA,NA,NA
E195_699,0.87799,NA,NA,NA
E615_356,0.44654,NA,NA,NA
E890_405,0.50818,NA,NA,NA
E38_471,0.59119,NA,NA,NA
E57_643,NA,0.80755,NA,NA
E888_382,NA,0.47925,NA,NA
E968_65,0.0805,NA,NA,NA
E531_6,0.00629,NA,NA,NA
E906_164,0.20503,NA,NA,NA
E133_550,0.69057,NA,NA,NA
E775_423,0.53082,NA,NA,NA
E596_165,0.20629,NA,NA,NA
E620_774,NA,NA,NA,0.97233
E713_773,NA,0.97107,NA,NA
E261_124,NA,NA,0.15472,NA
E386_734,0.92201,NA,NA,NA
E385_101,NA,0.12579,NA,NA
E4_747,0.93836,NA,NA,NA
E131_586,NA,0.73585,NA,NA
E732_110,NA,NA,0.13711,NA
E138_92,0.11447,NA,NA,NA
E151_530,NA,NA,NA,0.66541
E383_306,0.38365,NA,NA,NA
E975_96,NA,0.1195,NA,NA
E658_24,NA,NA,0.02893,NA
E586_184,NA,NA,0.23019,NA
E829_491,NA,0.61635,NA,NA
E962_92,0.11447,NA,NA,NA
E108_725,0.91069,NA,NA,NA
E547_670,0.84151,NA,NA,NA
E405_21,0.02516,NA,NA,NA
E963_57,0.07044,NA,NA,NA
E148_676,0.84906,NA,NA,NA
E169_452,0.5673,NA,NA,NA
E710_198,0.2478,NA,NA,NA
