,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E311_460,0.57538,NA,NA,NA
E140_46,NA,0.05528,NA,NA
E873_468,0.58543,NA,NA,NA
E25_24,NA,0.02764,NA,NA
E791_230,NA,NA,NA,0.28643
E884_293,NA,0.36558,NA,NA
E228_549,0.68719,NA,NA,NA
E887_33,0.03894,NA,NA,NA
E748_237,NA,0.29523,NA,NA
E581_149,NA,0.18467,NA,NA
E287_287,NA,0.35804,NA,NA
E354_114,NA,NA,NA,0.1407
E583_713,NA,0.89322,NA,NA
E437_259,NA,0.32286,NA,NA
E267_77,0.09422,NA,NA,NA
E716_111,0.13693,NA,NA,NA
E180_165,NA,NA,NA,0.20477
E629_33,NA,0.03894,NA,NA
E368_372,NA,0.46482,NA,NA
E6_39,NA,0.04648,NA,NA
E248_476,NA,0.59548,NA,NA
E388_467,NA,NA,NA,0.58417
E778_291,NA,0.36307,NA,NA
E173_710,NA,0.88945,NA,NA
E266_147,NA,NA,0.18216,NA
E167_342,NA,0.42714,NA,NA
E97_529,NA,0.66206,NA,NA
E488_717,NA,0.89824,NA,NA
E82_684,NA,0.85678,NA,NA
E707_421,NA,0.52638,NA,NA
E917_312,NA,0.38945,NA,NA
E303_434,NA,NA,NA,0.54271
E353_524,NA,0.65578,NA,NA
E702_156,NA,0.19347,NA,NA
E299_322,NA,0.40201,NA,NA
E454_426,NA,0.53266,NA,NA
E135_767,NA,0.96106,NA,NA
E187_74,NA,NA,NA,0.09045
E710_699,NA,0.87563,NA,NA
E597_373,NA,NA,0.46608,NA
E713_201,NA,NA,NA,0.25
E285_461,NA,0.57663,NA,NA
E599_598,0.74874,NA,NA,NA
E904_27,NA,NA,NA,0.03141
E598_357,0.44598,NA,NA,NA
E457_35,NA,NA,0.04146,NA
E346_569,NA,0.71231,NA,NA
E157_480,NA,0.6005,NA,NA
E903_609,0.76256,NA,NA,NA
E534_669,NA,0.83794,NA,NA
E131_85,NA,NA,NA,0.10427
E670_101,NA,0.12437,NA,NA
E518_233,NA,0.2902,NA,NA
E910_681,NA,NA,NA,0.85302
E883_660,NA,0.82663,NA,NA
E631_309,NA,0.38568,NA,NA
E221_688,NA,NA,0.86181,NA
E57_240,NA,NA,NA,0.29899
E523_223,NA,0.27764,NA,NA
E289_483,NA,NA,NA,0.60427
E404_462,0.57789,NA,NA,NA
E780_417,NA,0.52136,NA,NA
E198_605,NA,NA,NA,0.75754
E559_775,0.97111,NA,NA,NA
E246_739,NA,NA,NA,0.92588
