,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E775_479,NA,0.6005,NA,NA
E53_268,0.33543,NA,NA,NA
E618_587,0.73618,NA,NA,NA
E607_667,NA,0.83668,NA,NA
E69_90,0.11181,NA,NA,NA
E135_207,NA,0.25879,NA,NA
E435_585,0.73367,NA,NA,NA
E398_381,NA,NA,NA,0.47739
E904_134,0.16709,NA,NA,NA
E860_383,NA,0.4799,NA,NA
E973_97,NA,0.1206,NA,NA
E310_337,NA,0.42211,NA,NA
E17_52,NA,0.06407,NA,NA
E129_519,0.65075,NA,NA,NA
E741_405,NA,0.50754,NA,NA
E648_35,0.04271,NA,NA,NA
E561_357,NA,NA,0.44724,NA
E258_283,0.35427,NA,NA,NA
E872_738,NA,NA,0.92588,NA
E229_489,NA,0.61307,NA,NA
E265_714,NA,NA,0.89573,NA
E431_352,NA,NA,0.44095,NA
E622_327,0.40955,NA,NA,NA
E731_178,NA,0.22236,NA,NA
E88_499,NA,NA,NA,0.62563
E249_170,NA,NA,0.21231,NA
E899_545,NA,0.68342,NA,NA
E150_147,NA,NA,0.18342,NA
E237_242,NA,NA,NA,0.30276
E748_323,NA,0.40452,NA,NA
E807_30,0.03643,NA,NA,NA
E30_548,NA,NA,NA,0.68719
E160_502,NA,0.6294,NA,NA
E276_455,NA,NA,NA,0.57035
E707_286,NA,0.35804,NA,NA
E409_284,NA,NA,0.35553,NA
E411_471,NA,0.59045,NA,NA
E325_331,NA,0.41457,NA,NA
E995_759,NA,0.95226,NA,NA
E242_259,NA,NA,NA,0.32412
E226_169,0.21106,NA,NA,NA
E254_780,0.97864,NA,NA,NA
E588_489,NA,0.61307,NA,NA
E758_701,NA,0.8794,NA,NA
E942_71,NA,NA,NA,0.08794
E91_361,NA,NA,0.45226,NA
E557_362,0.45352,NA,NA,NA
E523_616,NA,0.77261,NA,NA
E476_616,0.77261,NA,NA,NA
E571_339,0.42462,NA,NA,NA
E710_240,NA,0.30025,NA,NA
E27_418,0.52387,NA,NA,NA
E842_45,NA,0.05528,NA,NA
