,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E24_305,NA,NA,NA,0.37987
E938_431,0.53836,NA,NA,NA
E85_664,NA,NA,NA,0.83145
E334_747,0.93585,NA,NA,NA
E765_699,0.87547,NA,NA,NA
E976_283,0.3522,NA,NA,NA
E869_760,NA,NA,0.9522,NA
E428_598,0.74843,NA,NA,NA
E862_79,0.0956,NA,NA,NA
E770_87,NA,NA,NA,0.10566
E91_91,NA,0.11069,NA,NA
E184_116,NA,NA,0.14214,NA
E809_139,NA,NA,0.17107,NA
E3_612,NA,NA,NA,0.76604
E605_280,NA,NA,NA,0.34843
E225_773,NA,0.96855,NA,NA
E455_763,NA,0.95597,NA,NA
E457_237,NA,0.29434,NA,NA
E156_556,NA,0.6956,NA,NA
E89_53,NA,0.06289,NA,NA
E630_610,NA,NA,NA,0.76352
E795_742,NA,NA,NA,0.92956
E101_619,0.77484,NA,NA,NA
E2_340,0.4239,NA,NA,NA
E295_567,0.70943,NA,NA,NA
E294_558,NA,NA,0.69811,NA
E405_334,0.41635,NA,NA,NA
E230_460,NA,NA,NA,0.57484
E611_75,NA,0.09057,NA,NA
E659_706,NA,NA,0.88428,NA
E688_240,NA,NA,NA,0.29811
E937_403,0.50314,NA,NA,NA
E130_497,0.62138,NA,NA,NA
E600_42,0.04906,NA,NA,NA
E195_507,0.63396,NA,NA,NA
E129_194,NA,NA,NA,0.24025
E566_70,0.08428,NA,NA,NA
E986_306,NA,0.38113,NA,NA
E84_422,NA,NA,NA,0.52704
E356_387,NA,0.48302,NA,NA
E469_722,0.9044,NA,NA,NA
E444_401,NA,NA,NA,0.50063
E607_657,0.82264,NA,NA,NA
E547_510,0.63774,NA,NA,NA
E811_584,NA,NA,NA,0.73082
E432_607,0.75975,NA,NA,NA
E978_552,NA,NA,NA,0.69057
E438_88,NA,NA,NA,0.10692
E877_39,NA,NA,0.04528,NA
E608_251,0.31195,NA,NA,NA
E670_536,0.67044,NA,NA,NA
E983_456,NA,0.56981,NA,NA
E629_770,0.96478,NA,NA,NA
E923_97,0.11824,NA,NA,NA
E563_120,0.14717,NA,NA,NA
E511_692,0.86667,NA,NA,NA
E973_120,0.14717,NA,NA,NA
E691_136,0.1673,NA,NA,NA
E445_25,NA,NA,0.02767,NA
E400_434,0.54214,NA,NA,NA
E350_720,NA,NA,NA,0.90189
E773_623,NA,NA,NA,0.77987
E671_455,0.56855,NA,NA,NA
E643_669,0.83774,NA,NA,NA
E628_112,NA,0.13711,NA,NA
E386_515,0.64403,NA,NA,NA
E316_383,0.47799,NA,NA,NA
E728_550,0.68805,NA,NA,NA
E924_471,0.58868,NA,NA,NA
E402_767,0.96101,NA,NA,NA
E587_687,NA,NA,0.86038,NA
E168_536,0.67044,NA,NA,NA
E606_777,NA,NA,0.97358,NA
E461_33,NA,0.03774,NA,NA
E681_57,NA,0.06792,NA,NA
E734_267,0.33208,NA,NA,NA
E520_179,0.22138,NA,NA,NA
E131_754,NA,NA,NA,0.94465
E936_58,NA,NA,NA,0.06918
E592_768,NA,0.96226,NA,NA
E496_407,NA,NA,NA,0.50818
E97_583,0.72956,NA,NA,NA
E917_618,0.77358,NA,NA,NA
E98_374,0.46667,NA,NA,NA
E906_253,0.31447,NA,NA,NA
E47_35,0.04025,NA,NA,NA
E171_775,0.97107,NA,NA,NA
E505_764,NA,NA,0.95723,NA
E562_578,NA,NA,NA,0.72327
E270_164,0.20252,NA,NA,NA
E940_445,0.55597,NA,NA,NA
E234_180,NA,0.22264,NA,NA
E370_220,0.27296,NA,NA,NA
E782_726,NA,NA,0.90943,NA
E633_388,0.48428,NA,NA,NA
E952_37,0.04277,NA,NA,NA
E29_296,NA,0.36855,NA,NA
E532_328,0.40881,NA,NA,NA
E423_181,NA,NA,NA,0.2239
E720_88,NA,0.10692,NA,NA
E760_393,NA,NA,0.49057,NA
E376_411,0.51321,NA,NA,NA
E411_520,0.65031,NA,NA,NA
E191_647,NA,NA,0.81006,NA
E627_637,0.79748,NA,NA,NA
E197_409,NA,NA,NA,0.51069
E176_93,NA,0.11321,NA,NA
E77_103,NA,0.12579,NA,NA
E163_751,NA,NA,NA,0.94088
E246_604,NA,NA,NA,0.75597
E599_769,NA,NA,0.96352,NA
E257_604,0.75597,NA,NA,NA
E244_691,NA,NA,NA,0.86541
E557_724,NA,NA,NA,0.90692
E451_285,NA,0.35472,NA,NA
E11_275,NA,NA,NA,0.34214
E347_204,0.25283,NA,NA,NA
E6_225,0.27925,NA,NA,NA
E351_697,0.87296,NA,NA,NA
E632_146,NA,NA,0.17987,NA
E426_238,NA,NA,NA,0.2956
E484_661,NA,0.82767,NA,NA
E34_116,NA,NA,NA,0.14214
E803_488,0.61006,NA,NA,NA
E658_655,NA,NA,0.82013,NA
E895_613,NA,NA,NA,0.7673
E757_583,0.72956,NA,NA,NA
E590_658,NA,NA,0.8239,NA
E687_473,NA,NA,NA,0.59119
E200_357,0.44528,NA,NA,NA
E50_717,0.89811,NA,NA,NA
E559_323,NA,NA,0.40252,NA
E114_91,0.11069,NA,NA,NA
E321_592,NA,0.74088,NA,NA
E967_554,NA,NA,NA,0.69308
E165_234,NA,NA,NA,0.29057
E498_161,0.19874,NA,NA,NA
E624_163,NA,NA,NA,0.20126
E664_70,NA,NA,0.08428,NA
E625_141,NA,NA,0.17358,NA
E494_417,0.52075,NA,NA,NA
E242_43,NA,NA,0.05031,NA
E125_522,NA,NA,NA,0.65283
E951_480,NA,NA,NA,0.6
E293_90,0.10943,NA,NA,NA
E193_262,0.32579,NA,NA,NA
E500_753,NA,NA,NA,0.9434
E401_344,NA,NA,0.42893,NA
E478_69,0.08302,NA,NA,NA
E955_773,0.96855,NA,NA,NA
E987_669,NA,0.83774,NA,NA
E992_339,NA,NA,NA,0.42264
E982_436,NA,NA,NA,0.54465
E819_30,NA,NA,NA,0.03396
E905_196,NA,NA,NA,0.24277
E746_380,0.47421,NA,NA,NA
E174_566,NA,NA,NA,0.70818
E58_548,0.68553,NA,NA,NA
E948_156,0.19245,NA,NA,NA
E850_632,0.79119,NA,NA,NA
E981_362,0.45157,NA,NA,NA
E758_227,0.28176,NA,NA,NA
E150_8,NA,0.00629,NA,NA
E332_382,0.47673,NA,NA,NA
E323_138,NA,NA,NA,0.16981
E275_103,0.12579,NA,NA,NA
E713_68,NA,NA,NA,0.08176
E391_291,NA,NA,NA,0.36226
E497_774,NA,0.96981,NA,NA
E840_148,NA,NA,NA,0.18239
E219_691,NA,NA,NA,0.86541
E408_559,NA,NA,NA,0.69937
E421_242,0.30063,NA,NA,NA
E222_144,0.17736,NA,NA,NA
E41_112,NA,NA,NA,0.13711
E525_719,NA,NA,NA,0.90063
E7_413,NA,0.51572,NA,NA
E106_152,0.18742,NA,NA,NA
E589_669,NA,NA,NA,0.83774
E556_238,NA,NA,NA,0.2956
E100_431,NA,NA,NA,0.53836
E136_162,0.2,NA,NA,NA
E541_76,0.09182,NA,NA,NA
E848_231,NA,NA,0.28679,NA
E487_110,0.13459,NA,NA,NA
E581_4,0.00126,NA,NA,NA
E44_634,0.79371,NA,NA,NA
E740_798,NA,1.0,NA,NA
E113_577,0.72201,NA,NA,NA
E620_499,NA,0.6239,NA,NA
E283_758,NA,0.94969,NA,NA
E495_60,0.0717,NA,NA,NA
E102_151,0.18616,NA,NA,NA
E333_665,NA,NA,NA,0.8327
E650_190,NA,NA,NA,0.23522
E449_364,0.45409,NA,NA,NA
E429_644,NA,NA,NA,0.80629
E261_787,NA,0.98616,NA,NA
E696_374,0.46667,NA,NA,NA
E123_63,NA,NA,NA,0.07547
E517_606,0.75849,NA,NA,NA
E672_738,NA,NA,NA,0.92453
E309_176,NA,NA,NA,0.21761
E887_456,NA,NA,0.56981,NA
E390_250,0.31069,NA,NA,NA
E327_589,0.73711,NA,NA,NA
E48_3,NA,NA,0.0,NA
E240_457,0.57107,NA,NA,NA
E179_455,0.56855,NA,NA,NA
E791_13,NA,NA,NA,0.01258
E519_123,NA,NA,0.15094,NA
E648_591,NA,NA,NA,0.73962
E227_753,0.9434,NA,NA,NA
E112_82,0.09937,NA,NA,NA
E722_23,NA,NA,0.02516,NA
E32_19,0.02013,NA,NA,NA
E65_457,0.57107,NA,NA,NA
E239_163,0.20126,NA,NA,NA
E437_481,0.60126,NA,NA,NA
E509_433,0.54088,NA,NA,NA
E813_378,0.4717,NA,NA,NA
E852_684,NA,NA,NA,0.8566
E338_247,NA,0.30692,NA,NA
E907_381,NA,NA,NA,0.47547
E771_659,0.82516,NA,NA,NA
E546_432,NA,NA,0.53962,NA
E883_710,0.88931,NA,NA,NA
E963_292,0.36352,NA,NA,NA
E422_186,NA,NA,0.23019,NA
E694_702,0.87925,NA,NA,NA
E919_433,0.54088,NA,NA,NA
E182_617,0.77233,NA,NA,NA
E707_36,0.04151,NA,NA,NA
E790_105,0.1283,NA,NA,NA
E474_386,NA,0.48176,NA,NA
E565_233,0.28931,NA,NA,NA
E453_681,NA,NA,0.85283,NA
E870_689,NA,NA,0.86289,NA
E5_48,0.0566,NA,NA,NA
E880_71,NA,NA,NA,0.08553
E111_314,0.39119,NA,NA,NA
E820_32,NA,NA,NA,0.03648
E325_776,0.97233,NA,NA,NA
E577_698,NA,NA,NA,0.87421
E962_105,0.1283,NA,NA,NA
E192_328,0.40881,NA,NA,NA
E296_633,NA,0.79245,NA,NA
E585_201,0.24906,NA,NA,NA
E586_630,NA,NA,0.78868,NA
E183_457,0.57107,NA,NA,NA
E878_455,0.56855,NA,NA,NA
E205_540,0.67547,NA,NA,NA
E780_14,0.01384,NA,NA,NA
E173_52,0.06164,NA,NA,NA
E206_567,NA,NA,NA,0.70943
E359_251,NA,0.31195,NA,NA
E818_371,0.46289,NA,NA,NA
E710_411,0.51321,NA,NA,NA
E80_238,NA,NA,NA,0.2956
E984_758,0.94969,NA,NA,NA
E808_189,0.23396,NA,NA,NA
E155_355,NA,NA,NA,0.44277
E912_235,0.29182,NA,NA,NA
E551_123,0.15094,NA,NA,NA
E226_666,NA,NA,NA,0.83396
E280_319,NA,NA,NA,0.39748
E448_126,NA,0.15472,NA,NA
E307_392,NA,NA,0.48931,NA
E735_418,0.52201,NA,NA,NA
E164_784,0.98239,NA,NA,NA
E868_333,0.41509,NA,NA,NA
E486_578,0.72327,NA,NA,NA
E892_250,NA,0.31069,NA,NA
E867_759,NA,NA,NA,0.95094
E956_10,NA,NA,NA,0.00881
E305_760,0.9522,NA,NA,NA
E939_66,0.07925,NA,NA,NA
E367_517,0.64654,NA,NA,NA
E109_784,0.98239,NA,NA,NA
E14_341,NA,NA,0.42516,NA
E238_653,NA,NA,NA,0.81761
E35_720,0.90189,NA,NA,NA
E814_273,0.33962,NA,NA,NA
E117_523,NA,NA,NA,0.65409
E489_119,0.14591,NA,NA,NA
E201_46,NA,NA,NA,0.05409
E945_474,NA,NA,NA,0.59245
E322_454,NA,0.5673,NA,NA
E134_88,0.10692,NA,NA,NA
E596_775,0.97107,NA,NA,NA
E353_65,0.07799,NA,NA,NA
E653_635,0.79497,NA,NA,NA
E954_122,0.14969,NA,NA,NA
E706_525,NA,0.6566,NA,NA
E859_135,0.16604,NA,NA,NA
E743_734,NA,NA,NA,0.9195
E397_137,NA,0.16855,NA,NA
