,cl
E0,1
E1,0
E2,2
E3,0
E4,2
E5,2
E6,1
E7,2
E8,2
E9,1
E10,2
E11,1
E12,1
E13,2
E14,0
E15,1
E16,0
E17,2
E18,1
E19,0
E20,0
E21,1
E22,0
E23,1
E24,1
E25,2
E26,0
E27,2
E28,0
E29,2
E30,2
E31,1
E32,0
E33,1
E34,1
E35,1
E36,2
E37,0
E38,1
E39,2
E40,2
E41,0
E42,1
E43,2
E44,2
E45,0
E46,0
E47,0
E48,2
E49,1
E50,2
E51,1
E52,0
E53,0
E54,1
E55,0
E56,2
E57,2
E58,2
E59,1
E60,1
E61,1
E62,2
E63,1
E64,1
E65,2
E66,1
E67,0
E68,2
E69,2
E70,2
E71,2
E72,1
E73,1
E74,1
E75,2
E76,2
E77,2
E78,2
E79,0
E80,1
E81,1
E82,1
E83,1
E84,0
E85,2
E86,0
E87,2
E88,1
E89,1
E90,0
E91,2
E92,1
E93,2
E94,0
E95,1
E96,0
E97,0
E98,1
E99,1
E100,0
E101,1
E102,2
E103,1
E104,1
E105,1
E106,2
E107,1
E108,1
E109,2
E110,2
E111,2
E112,2
E113,1
E114,1
E115,0
E116,2
E117,2
E118,2
E119,1
E120,2
E121,1
E122,2
E123,1
E124,1
E125,2
E126,1
E127,0
E128,1
E129,0
E130,0
E131,2
E132,1
E133,0
E134,0
E135,0
E136,1
E137,1
E138,2
E139,0
E140,1
E141,0
E142,2
E143,1
E144,0
E145,2
E146,0
E147,1
E148,0
E149,0
E150,2
E151,0
E152,0
E153,1
E154,0
E155,2
E156,2
E157,1
E158,1
E159,1
E160,1
E161,2
E162,2
E163,2
E164,0
E165,0
E166,2
E167,2
E168,2
E169,2
E170,2
E171,0
E172,1
E173,1
E174,2
E175,1
E176,1
E177,0
E178,2
E179,2
E180,1
E181,0
E182,0
E183,0
E184,1
E185,2
E186,0
E187,2
E188,0
E189,2
E190,2
E191,1
E192,0
E193,0
E194,0
E195,2
E196,0
E197,0
E198,2
E199,0
E200,2
E201,2
E202,0
E203,1
E204,0
E205,1
E206,0
E207,0
E208,0
E209,1
E210,0
E211,2
E212,0
E213,0
E214,2
E215,1
E216,0
E217,0
E218,2
E219,2
E220,1
E221,1
E222,2
E223,0
E224,2
E225,1
E226,2
E227,2
E228,2
E229,0
E230,2
E231,2
E232,0
E233,2
E234,1
E235,1
E236,0
E237,2
E238,2
E239,1
E240,0
E241,2
E242,2
E243,2
E244,0
E245,1
E246,2
E247,2
E248,2
E249,2
E250,1
E251,0
E252,0
E253,1
E254,1
E255,2
E256,1
E257,2
E258,0
E259,0
E260,1
E261,1
E262,2
E263,2
E264,2
E265,2
E266,0
E267,1
E268,2
E269,1
E270,0
E271,1
E272,2
E273,1
E274,1
E275,2
E276,1
E277,0
E278,2
E279,2
E280,1
E281,1
E282,1
E283,1
E284,0
E285,2
E286,2
E287,2
E288,2
E289,2
E290,2
E291,1
E292,0
E293,1
E294,2
E295,1
E296,2
E297,2
E298,0
E299,0
E300,1
E301,2
E302,2
E303,2
E304,0
E305,1
E306,0
E307,0
E308,0
E309,2
E310,1
E311,0
E312,1
E313,0
E314,0
E315,2
E316,2
E317,2
E318,0
E319,2
E320,0
E321,2
E322,1
E323,2
E324,1
E325,1
E326,1
E327,0
E328,2
E329,2
E330,1
E331,0
E332,2
E333,0
E334,0
E335,2
E336,2
E337,0
E338,1
E339,0
E340,2
E341,2
E342,0
E343,2
E344,0
E345,1
E346,2
E347,0
E348,1
E349,1
E350,0
E351,2
E352,1
E353,0
E354,0
E355,2
E356,1
E357,0
E358,1
E359,2
E360,2
E361,1
E362,2
E363,1
E364,0
E365,2
E366,2
E367,1
E368,0
E369,0
E370,2
E371,0
E372,0
E373,2
E374,0
E375,2
E376,1
E377,1
E378,0
E379,1
E380,0
E381,0
E382,1
E383,1
E384,0
E385,0
E386,1
E387,0
E388,1
E389,2
E390,0
E391,1
E392,2
E393,2
E394,1
E395,0
E396,2
E397,1
E398,2
E399,2
E400,0
E401,0
E402,1
E403,2
E404,0
E405,1
E406,1
E407,2
