,PseudoTime1,PseudoTime2,PseudoTime3
E88_246,NA,0.3074,NA
E212_27,0.03262,NA,NA
E770_773,0.96863,NA,NA
E162_773,NA,NA,0.96863
E123_341,NA,0.4266,NA
E525_149,NA,NA,0.1857
E373_120,NA,NA,0.14931
E359_177,NA,NA,0.22083
E397_714,NA,0.8946,NA
E170_100,NA,NA,0.12422
E95_598,NA,0.74906,NA
E454_636,NA,0.79674,NA
E135_44,0.05395,NA,NA
E605_275,NA,0.34379,NA
E271_651,NA,0.81556,NA
E878_344,0.43036,NA,NA
E58_569,NA,NA,0.71267
E231_731,NA,NA,0.91593
E534_591,0.74028,NA,NA
E85_406,NA,NA,0.50816
E881_344,NA,NA,0.43036
E345_351,NA,0.43915,NA
E431_627,0.78545,NA,NA
E233_383,NA,NA,0.4793
E676_236,NA,NA,0.29486
E627_72,0.08908,NA,NA
E834_509,NA,0.63739,NA
E532_520,NA,0.65119,NA
E9_650,NA,0.8143,NA
E251_511,0.6399,NA,NA
E622_22,0.02635,NA,NA
E484_590,NA,0.73902,NA
E127_64,0.07905,NA,NA
E734_28,NA,0.03388,NA
E0_322,NA,0.40276,NA
E849_143,NA,0.17817,NA
E687_631,NA,0.79046,NA
E320_634,0.79423,NA,NA
E370_63,NA,NA,0.07779
E594_465,0.58218,NA,NA
E288_728,NA,NA,0.91217
E603_442,NA,0.55332,NA
E601_443,NA,NA,0.55458
E464_243,NA,0.30364,NA
E735_632,NA,0.79172,NA
E598_694,NA,NA,0.86951
E68_93,NA,NA,0.11543
E903_137,NA,NA,0.17064
E602_211,NA,NA,0.26349
E405_756,NA,0.9473,NA
E477_548,NA,NA,0.68632
E34_685,NA,0.85822,NA
E617_704,NA,NA,0.88206
E507_19,NA,NA,0.02258
E827_179,NA,0.22334,NA
E29_333,NA,NA,0.41656
E245_384,NA,0.48055,NA
E99_756,NA,0.9473,NA
E615_306,0.38269,NA,NA
E380_272,0.34003,NA,NA
E656_441,NA,NA,0.55207
E307_526,0.65872,NA,NA
E377_695,NA,0.87077,NA
E640_353,0.44166,NA,NA
E324_536,NA,0.67127,NA
E968_126,NA,NA,0.15684
E456_314,NA,0.39272,NA
E79_603,0.75533,NA,NA
E842_563,0.70514,NA,NA
E875_369,0.46173,NA,NA
E183_751,0.94103,NA,NA
E551_703,NA,NA,0.8808
E569_597,NA,0.7478,NA
E10_363,NA,NA,0.4542
E181_736,0.92221,NA,NA
E955_291,NA,NA,0.36386
E52_339,0.42409,NA,NA
E126_166,NA,0.20703,NA
E671_553,NA,NA,0.6926
E538_711,0.89084,NA,NA
E46_410,0.51317,NA,NA
E287_410,NA,NA,0.51317
E479_298,0.37265,NA,NA
E826_218,0.27227,NA,NA
E509_480,0.601,NA,NA
E211_199,NA,NA,0.24843
E249_730,NA,NA,0.91468
E511_271,NA,NA,0.33877
E833_652,NA,NA,0.81681
E723_522,0.6537,NA,NA
E951_563,0.70514,NA,NA
E471_424,NA,NA,0.53074
E508_325,0.40652,NA,NA
E920_488,NA,0.61104,NA
E552_225,NA,0.28105,NA
E545_674,0.84442,NA,NA
E466_88,NA,0.10916,NA
E461_387,NA,0.48432,NA
E338_478,NA,0.59849,NA
E145_330,NA,NA,0.4128
E998_32,NA,0.0389,NA
E606_170,NA,NA,0.21205
E642_576,0.72146,NA,NA
E918_229,0.28607,NA,NA
E763_765,NA,0.95859,NA
E192_649,0.81305,NA,NA
E178_335,NA,NA,0.41907
E582_718,0.89962,NA,NA
E517_433,0.54203,NA,NA
E589_505,0.63237,NA,NA
E410_395,NA,NA,0.49435
E679_592,NA,0.74153,NA
E13_67,NA,NA,0.08281
E206_507,0.63488,NA,NA
E187_534,NA,NA,0.66876
E216_369,0.46173,NA,NA
E334_246,0.3074,NA,NA
E668_189,NA,NA,0.23588
E11_312,NA,0.39021,NA
E279_140,NA,NA,0.1744
E188_256,0.31995,NA,NA
E429_759,0.95107,NA,NA
E47_83,0.10289,NA,NA
E853_217,NA,0.27102,NA
E737_258,NA,NA,0.32246
E725_6,NA,NA,0.00627
E530_51,0.06274,NA,NA
E62_309,NA,NA,0.38645
E349_702,NA,0.87955,NA
E708_777,NA,NA,0.97365
E714_454,0.56838,NA,NA
E732_53,0.06524,NA,NA
E2_565,NA,NA,0.70765
E934_130,NA,0.16186,NA
E308_290,0.36261,NA,NA
E399_131,NA,NA,0.16311
E524_570,NA,NA,0.71393
E161_83,NA,NA,0.10289
E134_548,0.68632,NA,NA
E482_264,NA,0.32999,NA
E313_632,0.79172,NA,NA
E941_455,0.56964,NA,NA
E342_599,0.75031,NA,NA
E148_600,0.75157,NA,NA
E459_74,NA,0.09159,NA
E351_219,NA,NA,0.27353
E610_47,NA,NA,0.05772
E328_480,NA,NA,0.601
E253_437,NA,0.54705,NA
E323_339,NA,NA,0.42409
E335_692,NA,NA,0.867
E176_45,NA,0.05521,NA
E354_481,0.60226,NA,NA
E645_600,0.75157,NA,NA
E309_234,NA,NA,0.29235
E931_505,0.63237,NA,NA
E814_665,0.83312,NA,NA
E937_422,0.52823,NA,NA
E386_535,NA,0.67001,NA
E139_361,0.45169,NA,NA
E286_135,NA,NA,0.16813
E750_509,NA,NA,0.63739
E177_621,0.77792,NA,NA
E780_84,NA,0.10414,NA
E795_530,NA,0.66374,NA
E688_209,NA,0.26098,NA
E859_778,0.97491,NA,NA
E291_553,NA,0.6926,NA
E353_120,0.14931,NA,NA
E970_74,NA,NA,0.09159
E756_294,NA,NA,0.36763
E100_246,0.3074,NA,NA
E358_229,NA,0.28607,NA
E293_676,NA,0.84693,NA
E957_274,NA,0.34253,NA
E739_403,NA,NA,0.50439
E75_563,NA,NA,0.70514
E518_292,NA,NA,0.36512
E227_373,NA,NA,0.46675
E900_346,0.43287,NA,NA
E793_438,0.54831,NA,NA
E283_429,NA,0.53701,NA
E96_632,0.79172,NA,NA
E147_154,NA,0.19197,NA
E704_365,NA,NA,0.45671
E693_447,0.5596,NA,NA
E281_377,NA,0.47177,NA
E607_206,0.25721,NA,NA
E573_284,NA,NA,0.35508
E226_513,NA,NA,0.64241
E751_679,0.85069,NA,NA
E832_691,NA,0.86575,NA
E510_58,0.07152,NA,NA
E578_6,NA,NA,0.00627
E757_105,NA,0.13049,NA
E674_328,0.41029,NA,NA
E519_408,NA,0.51066,NA
E292_374,0.46801,NA,NA
E90_425,0.53199,NA,NA
