,cl
E0,2
E1,0
E2,0
E3,0
E4,1
E5,0
E6,2
E7,0
E8,0
E9,1
E10,2
E11,2
E12,2
E13,1
E14,1
E15,0
E16,0
E17,0
E18,1
E19,1
E20,1
E21,0
E22,0
E23,0
E24,2
E25,1
E26,1
E27,0
E28,1
E29,0
E30,0
E31,1
E32,0
E33,1
E34,1
E35,0
E36,0
E37,0
E38,0
E39,1
E40,1
E41,0
E42,0
E43,0
E44,0
E45,0
E46,1
E47,0
E48,0
E49,1
E50,1
E51,0
E52,0
E53,0
E54,0
E55,1
E56,0
E57,0
E58,0
E59,0
E60,0
E61,1
E62,2
E63,0
E64,0
E65,0
E66,1
E67,0
E68,0
E69,1
E70,0
E71,0
E72,0
E73,0
E74,0
E75,1
E76,2
E77,0
E78,0
E79,0
E80,0
E81,0
E82,0
E83,0
E84,1
E85,0
E86,0
E87,1
E88,1
E89,0
E90,0
E91,0
E92,0
E93,1
E94,1
E95,0
E96,0
E97,0
E98,1
E99,0
E100,2
E101,0
E102,2
E103,1
E104,0
E105,0
E106,0
E107,0
E108,2
E109,0
E110,0
E111,0
E112,1
E113,2
E114,2
E115,0
E116,0
E117,0
E118,0
E119,0
E120,0
E121,0
E122,1
E123,0
E124,2
E125,2
E126,1
E127,0
E128,1
E129,1
E130,0
E131,1
E132,2
E133,0
E134,0
E135,0
E136,1
E137,1
E138,0
E139,1
E140,1
E141,0
E142,1
E143,0
E144,0
E145,2
E146,0
E147,2
E148,0
E149,0
E150,2
E151,1
E152,1
E153,1
E154,1
E155,1
E156,2
E157,0
E158,0
E159,0
E160,1
E161,0
E162,0
E163,0
E164,0
E165,0
E166,0
E167,2
E168,0
E169,1
E170,0
E171,0
E172,1
E173,1
E174,1
E175,2
E176,0
E177,1
E178,1
E179,0
E180,1
E181,0
E182,0
E183,0
E184,1
E185,1
E186,0
E187,0
E188,1
E189,0
E190,2
E191,1
E192,0
E193,1
E194,1
E195,1
E196,1
E197,0
E198,1
E199,0
E200,1
E201,0
E202,1
E203,1
E204,1
E205,0
E206,2
E207,1
E208,2
E209,0
E210,1
E211,0
E212,1
E213,0
E214,1
E215,2
E216,0
E217,1
E218,0
E219,0
E220,2
E221,1
E222,2
E223,0
E224,0
E225,2
E226,1
E227,2
E228,1
E229,2
E230,2
E231,1
E232,0
E233,1
E234,0
E235,0
E236,1
E237,2
E238,1
E239,0
E240,0
E241,0
E242,0
E243,1
E244,1
E245,1
E246,1
E247,1
E248,0
E249,2
E250,0
E251,0
E252,0
E253,1
E254,0
E255,1
E256,0
E257,0
E258,1
E259,0
E260,0
E261,2
E262,0
E263,0
E264,0
E265,0
E266,0
E267,0
E268,2
E269,2
E270,0
E271,2
E272,0
E273,1
E274,2
E275,1
E276,0
E277,0
E278,0
E279,0
E280,1
E281,0
E282,2
E283,0
E284,0
E285,1
E286,1
E287,0
E288,0
E289,0
E290,1
E291,0
E292,1
E293,0
E294,0
E295,1
E296,2
E297,0
E298,0
E299,0
E300,0
E301,2
E302,0
E303,0
E304,1
E305,0
E306,0
E307,0
E308,1
E309,1
E310,0
E311,0
E312,0
E313,0
E314,1
E315,0
E316,0
E317,0
E318,0
E319,0
E320,1
E321,0
E322,0
E323,1
E324,0
E325,1
E326,0
E327,1
E328,0
E329,0
E330,1
E331,0
E332,0
E333,0
E334,0
E335,1
E336,1
E337,0
E338,2
E339,1
E340,0
E341,0
E342,2
E343,0
E344,1
E345,0
E346,0
E347,1
E348,0
E349,0
E350,0
E351,1
E352,2
E353,1
E354,0
E355,1
E356,1
E357,0
E358,0
E359,1
E360,0
E361,1
E362,0
E363,0
E364,2
E365,1
E366,0
E367,1
E368,0
E369,1
E370,0
E371,2
E372,0
E373,0
E374,2
E375,1
E376,1
E377,1
E378,0
E379,1
E380,0
E381,2
E382,2
E383,0
E384,2
E385,0
E386,0
E387,1
E388,1
E389,0
E390,0
E391,1
E392,1
E393,0
E394,1
E395,0
E396,1
E397,0
E398,0
E399,2
E400,1
E401,1
E402,0
E403,0
E404,0
E405,1
E406,1
E407,1
E408,0
E409,0
E410,1
E411,1
E412,1
E413,0
E414,0
E415,2
E416,0
E417,1
E418,0
E419,0
E420,0
E421,0
E422,0
E423,1
E424,1
E425,0
E426,1
E427,0
E428,2
E429,2
E430,1
E431,0
E432,1
E433,0
E434,1
E435,0
E436,2
E437,2
E438,0
E439,1
E440,1
E441,0
E442,0
E443,1
E444,0
E445,0
E446,1
E447,2
E448,0
E449,0
E450,2
E451,2
E452,2
E453,2
E454,0
E455,0
E456,1
E457,2
E458,1
E459,1
E460,1
E461,0
E462,0
E463,2
E464,2
E465,0
E466,0
E467,1
E468,2
E469,1
E470,0
E471,0
E472,0
E473,0
E474,2
E475,0
E476,0
E477,0
E478,0
E479,0
E480,2
E481,2
E482,0
E483,0
E484,1
E485,0
E486,1
E487,1
E488,0
E489,1
E490,2
E491,0
E492,1
E493,1
E494,1
E495,1
E496,0
E497,0
E498,0
E499,1
E500,1
E501,0
E502,2
E503,0
E504,1
E505,0
E506,1
E507,1
E508,1
E509,2
E510,1
E511,0
E512,1
E513,1
E514,0
E515,0
E516,2
E517,0
E518,1
E519,0
E520,0
E521,1
E522,0
E523,0
E524,1
E525,2
E526,0
E527,0
E528,2
E529,2
E530,1
E531,0
E532,2
E533,0
E534,1
E535,1
E536,1
E537,0
E538,0
E539,1
E540,0
E541,1
E542,0
E543,0
E544,1
E545,0
E546,0
E547,0
E548,0
E549,0
E550,2
E551,2
E552,0
E553,0
E554,0
E555,1
E556,0
E557,1
E558,1
E559,0
E560,2
E561,0
E562,1
E563,0
E564,0
E565,0
E566,0
E567,1
E568,1
E569,0
E570,0
E571,2
E572,2
E573,0
E574,1
E575,0
E576,0
E577,0
E578,0
E579,2
E580,0
E581,1
E582,0
E583,0
E584,1
E585,1
E586,0
E587,0
E588,0
E589,1
E590,0
E591,2
E592,1
E593,0
E594,2
E595,0
E596,1
E597,1
E598,2
E599,1
E600,0
E601,1
E602,0
E603,1
E604,1
E605,0
E606,2
E607,0
E608,0
E609,1
E610,0
