,PseudoTime1,PseudoTime2,PseudoTime3
E580_707,0.88568,NA,NA
E39_455,NA,0.5691,NA
E742_215,NA,0.26759,NA
E530_258,NA,0.32161,NA
E166_754,0.94472,NA,NA
E944_676,NA,0.84673,NA
E608_505,0.63191,NA,NA
E764_196,0.24372,NA,NA
E946_422,NA,0.52764,NA
E133_646,0.80905,NA,NA
E578_52,0.06281,NA,NA
E660_88,0.10804,NA,NA
E838_13,0.01382,NA,NA
E866_203,NA,0.25251,NA
E716_175,0.21734,NA,NA
E427_266,0.33166,NA,NA
E952_105,NA,NA,0.1294
E167_757,NA,NA,0.94849
E225_76,NA,NA,0.09296
E165_617,0.77261,NA,NA
E178_603,NA,0.75503,NA
E992_381,0.47613,NA,NA
E533_547,0.68467,NA,NA
E219_36,0.04271,NA,NA
E103_130,NA,0.1608,NA
E917_378,0.47236,NA,NA
E605_140,0.17337,NA,NA
E645_519,0.6495,NA,NA
E100_23,NA,NA,0.02638
E110_295,0.36809,NA,NA
E644_489,0.61181,NA,NA
E506_582,NA,0.72864,NA
E825_728,0.91206,NA,NA
E94_484,NA,0.60553,NA
E270_275,0.34296,NA,NA
E45_289,0.36055,NA,NA
E672_470,NA,0.58794,NA
E105_133,0.16457,NA,NA
E777_122,0.15075,NA,NA
E677_733,0.91834,NA,NA
E52_272,0.3392,NA,NA
E694_111,0.13693,NA,NA
E673_671,NA,0.84045,NA
E816_775,0.97111,NA,NA
E570_302,0.37688,NA,NA
E966_47,NA,0.05653,NA
E113_292,NA,NA,0.36432
E543_94,0.11558,NA,NA
E717_570,0.71357,NA,NA
E973_587,0.73492,NA,NA
E861_148,0.18342,NA,NA
E415_713,NA,NA,0.89322
E8_71,0.08668,NA,NA
E250_722,0.90452,NA,NA
E16_66,0.0804,NA,NA
E197_723,0.90578,NA,NA
E819_655,NA,0.82035,NA
E311_155,0.19221,NA,NA
E682_19,NA,NA,0.02136
E619_179,NA,0.22236,NA
E320_785,NA,0.98367,NA
E913_192,NA,NA,0.23869
E330_336,NA,0.4196,NA
E870_291,NA,NA,0.36307
E615_218,0.27136,NA,NA
E242_756,0.94724,NA,NA
E898_691,0.86558,NA,NA
E471_522,0.65327,NA,NA
E435_753,0.94347,NA,NA
E15_751,0.94095,NA,NA
E481_332,NA,NA,0.41457
E187_27,0.03141,NA,NA
E417_161,NA,0.19975,NA
E590_254,0.31658,NA,NA
E281_622,0.77889,NA,NA
E667_316,0.39447,NA,NA
E480_300,NA,NA,0.37437
E708_723,0.90578,NA,NA
E736_185,0.2299,NA,NA
E496_288,0.3593,NA,NA
E333_707,0.88568,NA,NA
E758_255,NA,0.31784,NA
E626_689,NA,0.86307,NA
E357_317,0.39573,NA,NA
E464_5,NA,NA,0.00377
E909_250,0.31156,NA,NA
E983_704,0.88191,NA,NA
E83_366,0.45729,NA,NA
E911_701,0.87814,NA,NA
E346_626,0.78392,NA,NA
E247_703,NA,0.88065,NA
E349_333,0.41583,NA,NA
E832_79,0.09673,NA,NA
E655_49,NA,0.05905,NA
E3_39,0.04648,NA,NA
E179_316,0.39447,NA,NA
E364_179,NA,NA,0.22236
E599_291,NA,0.36307,NA
E279_329,0.4108,NA,NA
E907_7,0.00628,NA,NA
E799_128,NA,0.15829,NA
E735_607,0.76005,NA,NA
E874_192,NA,0.23869,NA
E414_566,0.70854,NA,NA
E939_479,NA,NA,0.59925
E138_609,0.76256,NA,NA
E262_148,0.18342,NA,NA
E84_437,NA,0.54648,NA
E889_420,NA,0.52513,NA
E95_398,0.49749,NA,NA
E974_243,0.30276,NA,NA
E860_317,NA,NA,0.39573
E701_358,0.44724,NA,NA
E662_147,NA,0.18216,NA
E309_574,NA,0.71859,NA
E982_580,NA,0.72613,NA
E162_360,0.44975,NA,NA
E315_334,0.41709,NA,NA
E656_88,NA,0.10804,NA
E322_481,0.60176,NA,NA
E859_258,0.32161,NA,NA
E159_157,0.19472,NA,NA
E611_391,NA,0.48869,NA
E421_287,0.35804,NA,NA
E609_384,NA,0.4799,NA
E338_717,NA,NA,0.89824
E514_172,0.21357,NA,NA
E238_734,NA,0.9196,NA
E313_402,0.50251,NA,NA
E958_315,0.39322,NA,NA
E31_601,NA,0.75251,NA
E391_626,NA,0.78392,NA
