Target_genes	CTNNB1|Average	SRX15288290|293	SRX15288296|293	SRX15288297|293	SRX15288298|293	SRX15288299|293	SRX15288300|293	DRX051430|DLD-1	SRX8929135|DLD-1	SRX8929136|DLD-1	SRX596338|ES_cells	SRX596340|ES_cells	SRX596342|ES_cells	SRX10437637|Hep_G2	SRX6699759|Hep_G2	SRX6699760|Hep_G2	SRX11919243|hESC_derived_endodermal_cells	SRX11919244|hESC_derived_endodermal_cells	SRX11919255|hESC_derived_endodermal_cells	SRX11919256|hESC_derived_endodermal_cells	SRX11919257|hESC_derived_endodermal_cells	SRX11919258|hESC_derived_endodermal_cells	SRX15288277|hESC_derived_endodermal_cells	SRX15288278|hESC_derived_endodermal_cells	SRX15288292|hESC_derived_endodermal_cells	SRX15288294|hESC_derived_endodermal_cells	SRX11919231|hESC_derived_mesendodermal_cells	SRX11919232|hESC_derived_mesendodermal_cells	SRX3686691|hESC_derived_neural_cells	SRX3686693|hESC_derived_neural_cells	SRX11919282|hESC_derived_neuromesodermal_cells	SRX11919283|hESC_derived_neuromesodermal_cells	SRX11919284|hESC_derived_neuromesodermal_cells	SRX11919285|hESC_derived_neuromesodermal_cells	SRX11919286|hESC_derived_neuromesodermal_cells	SRX11919287|hESC_derived_neuromesodermal_cells	SRX2844298|hESC_H1	SRX2844299|hESC_H1	SRX833402|hESC_H1	SRX833403|hESC_H1	SRX6039031|iPSC_derived_chondrocytes	SRX6039032|iPSC_derived_chondrocytes	SRX6039033|iPSC_derived_chondrocytes	SRX6039034|iPSC_derived_chondrocytes	SRX6039035|iPSC_derived_chondrocytes	SRX6039036|iPSC_derived_chondrocytes	SRX11919219|iPS_cells	SRX11919220|iPS_cells	DRX431467|JHH-7	SRX1036603|Jurkat	SRX14222008|Jurkat	SRX14222009|Jurkat	SRX14222010|Jurkat	SRX4493018|K-562	SRX4493019|K-562	SRX096347|LS-180	SRX096348|LS-180	SRX13991431|MCF_10A	SRX13991432|MCF_10A	SRX4815187|MCF-7	SRX4815188|MCF-7	SRX11522904|RPMI_8402	SRX11522905|RPMI_8402	SRX11522906|RPMI_8402	SRX11522907|RPMI_8402	SRX11522908|RPMI_8402	SRX11522909|RPMI_8402	SRX11522910|RPMI_8402	SRX11522911|RPMI_8402	SRX11522912|RPMI_8402	SRX11522913|RPMI_8402	SRX11522914|RPMI_8402	SRX12970355|SNU-387	SRX12970356|SNU-387	SRX4815189|SUM_149PT	SRX4815190|SUM_149PT	SRX423971|SW_480	SRX8929141|SW_480	SRX8929142|SW_480	STRING
SP5	419.423077	0	116	0	163	0	641	75	432	590	0	0	0	140	0	0	1454	1630	1264	1295	1383	1870	1571	1357	1057	1981	546	580	0	0	1180	1000	1455	830	1127	836	134	405	0	1590	1970	381	0	0	2048	691	0	0	0	0	0	0	0	0	289	129	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	207	0
MTRNR2L2	309.974359	223	0	0	0	0	0	317	411	579	201	268	271	248	1018	901	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	726	454	0	1268	0	0	0	0	0	0	0	0	0	367	844	814	888	987	841	292	320	184	124	1249	1278	0	0	0	136	0	104	126	1016	997	1014	988	0	0	1170	1117	937	620	645	0
MTRNR2L8	265.500000	0	0	0	0	0	0	303	268	528	262	332	278	279	803	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	255	222	1041	0	0	0	0	0	0	0	0	0	377	854	771	794	1126	1065	332	270	250	0	915	960	116	0	0	181	0	222	0	870	865	856	910	0	0	753	615	764	517	533	0
ELAPOR2	170.820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	1842	662	752	1469	2529	1489	361	801	2239	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CER1	162.974359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	767	429	636	202	501	269	660	208	746	220	476	0	0	965	1068	762	634	1224	893	121	219	0	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGPD2	162.820513	0	0	0	0	0	0	0	0	0	179	164	287	0	1026	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0	310	621	975	913	0	0	310	297	164	0	0	0	0	0	0	0	0	0	0	1102	1140	1152	1168	0	0	304	292	549	70	0	0
RGPD1	162.820513	0	0	0	0	0	0	0	0	0	179	164	287	0	1026	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0	310	621	975	913	0	0	310	297	164	0	0	0	0	0	0	0	0	0	0	1102	1140	1152	1168	0	0	304	292	549	70	0	0
COMMD7	160.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	1667	912	989	437	240	532	1071	377	1803	502	973	0	0	0	0	227	203	251	0	0	185	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKD1	155.833333	0	134	0	0	0	0	0	209	318	0	0	0	180	0	0	597	977	238	366	821	742	376	620	223	995	0	292	0	0	228	150	299	100	303	161	0	114	0	718	376	389	0	0	309	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	713	0
COLEC12	141.115385	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	250	641	161	219	1452	1937	550	165	603	1799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1379	1647	0
