Target_genes	JARID2|Average	SRX8171698|ES_cells	SRX8171699|ES_cells	SRX3230387|Hep_G2	SRX6416950|Hep_G2	SRX6416951|Hep_G2	SRX317571|iPS_cells	SRX317574|iPS_cells	SRX317578|iPS_cells	SRX317582|iPS_cells	SRX317588|iPS_cells	SRX317589|iPS_cells	SRX317593|iPS_cells	SRX317597|iPS_cells	SRX317601|iPS_cells	SRX317605|iPS_cells	SRX317609|iPS_cells	SRX10664185|MCF-7	SRX10664186|MCF-7	SRX10664187|MCF-7	SRX10664188|MCF-7	SRX5426122|NT2-D1	SRX5426123|NT2-D1	SRX6370176|NT2-D1	SRX6370177|NT2-D1	SRX6370178|NT2-D1	SRX6370207|NT2-D1	SRX6370208|NT2-D1	SRX6416958|THLE-2	SRX6416959|THLE-2	STRING
MTRNR2L8	337.793103	0	0	1414	0	0	689	367	349	357	886	349	232	223	494	1091	610	735	710	603	687	0	0	0	0	0	0	0	0	0	0
EPOP	331.172414	0	97	0	0	0	594	871	485	82	0	199	162	105	271	167	316	1040	1264	1999	1952	0	0	0	0	0	0	0	0	0	0
MTRNR2L2	311.000000	0	0	1650	0	0	375	193	0	172	617	243	159	139	279	793	424	1055	1106	817	997	0	0	0	0	0	0	0	0	0	0
FOXE3	305.275862	0	107	0	0	0	895	1479	1031	203	167	302	479	201	586	412	434	0	0	0	0	1015	313	693	166	158	212	0	0	0	0
NFIX	277.551724	0	0	0	0	0	950	1306	750	113	88	297	353	115	458	330	450	0	0	0	0	537	776	524	632	203	167	0	0	0	0
FOXF2	231.862069	0	0	0	0	0	290	331	503	0	0	137	216	0	182	125	178	0	0	0	0	1137	1332	1198	735	112	248	0	0	0	0
CDK5R2	231.241379	0	0	0	0	0	417	652	598	108	140	182	124	113	267	297	299	0	0	0	0	669	659	1229	456	240	256	0	0	0	0
NKX2-4	221.620690	0	0	0	0	0	759	1141	607	115	136	237	253	113	366	295	252	0	0	0	0	751	442	800	0	0	160	0	0	0	0
HOXC9	219.586207	0	0	0	0	0	201	348	507	0	102	118	154	0	178	172	214	0	0	0	0	604	1230	1268	657	424	191	0	0	0	0
FOXD2	216.482759	0	0	0	0	0	288	472	573	0	0	161	173	0	250	286	194	0	0	0	0	1046	793	1183	499	99	261	0	0	0	0
