Target_genes	KDM5B|Average	SRX3285563|C49R	SRX3285565|C70R	SRX3285588|C70R	SRX3285589|C70R	SRX3285613|C70R	SRX3285614|C70R	SRX3285576|FULR	SRX3285591|FULR	SRX3285592|FULR	SRX3285604|FULR	SRX3285605|FULR	SRX3285606|FULR	SRX3285608|FULR	SRX265432|HCC2157	SRX10475115|Hep_G2	SRX10475116|Hep_G2	SRX116461|hESC_H1	SRX116462|hESC_H1	SRX186653|hESC_H1	SRX3009990|hESC_H1	SRX3009991|hESC_H1	SRX116428|K-562	SRX116438|K-562	SRX116439|K-562	SRX186782|K-562	SRX055308|MCF-7	SRX055309|MCF-7	SRX055310|MCF-7	SRX055311|MCF-7	SRX055312|MCF-7	SRX265412|MCF-7	SRX265413|MCF-7	SRX265414|MCF-7	SRX3285561|MCF-7	SRX3285578|MCF-7	SRX3285580|MCF-7	SRX3285582|MCF-7	SRX3285584|MCF-7	SRX3285594|MCF-7	SRX3285595|MCF-7	SRX3285610|MCF-7	SRX3285611|MCF-7	SRX265430|MDA-MB-231	SRX265425|SUM_159PT	SRX265422|SUM_185PE	SRX265423|SUM_185PE	SRX265420|T-47D	SRX3285586|TAMR	SRX3285597|TAMR	SRX3285598|TAMR	SRX055303|U-937	SRX055304|U-937	SRX055305|U-937	SRX055306|U-937	STRING
COX19	1427.240741	2853	2655	770	1390	1495	2387	2659	795	2229	2854	2462	2825	1554	2063	0	205	0	0	0	0	0	0	903	0	736	298	127	198	114	0	2080	1929	1870	2638	1840	2876	2096	1881	3196	3333	3114	2374	1988	1734	1478	2030	1614	2678	2202	2423	0	125	0	0	0
KMT2A	1289.333333	2468	2725	1845	2542	1691	2356	1927	1494	2887	2422	2775	2326	2074	820	0	258	0	0	0	0	0	0	371	0	284	0	0	0	0	0	1711	1643	1390	2075	1519	2379	2028	1381	2824	2930	2737	2345	1514	485	0	1882	1332	2399	2974	2811	0	0	0	0	0
RBSN	1153.166667	2424	2077	333	749	894	1654	2024	482	1446	2332	1607	2307	1146	1625	162	572	0	0	0	0	0	0	632	0	599	663	169	328	0	0	2228	2167	1865	2156	1301	2476	1273	1103	2506	2644	2842	1439	1991	1253	1268	2165	1671	2384	1459	1607	0	248	0	0	0
VAMP4	1151.648148	2532	2157	325	976	1117	1391	1943	576	1393	2244	1730	2068	1047	2022	154	446	0	0	0	0	0	0	609	0	581	95	0	0	0	0	2287	2182	1995	2444	1271	2398	1490	1294	2604	2711	2677	1848	2004	849	1131	2129	1928	2254	1412	1875	0	0	0	0	0
SNRPB2	1140.185185	2619	1945	321	640	764	1607	1660	410	1177	2224	1469	1908	772	2044	252	935	0	0	0	0	0	0	522	0	478	475	152	176	161	0	2269	2225	2052	2418	904	2682	1071	1036	2674	2764	3004	1587	1980	1183	1123	2226	2032	1801	1616	1832	0	380	0	0	0
EXOC2	1136.129630	2614	2049	299	617	866	1435	2029	542	1436	2245	1439	1845	881	1500	277	687	0	0	0	0	0	0	548	0	485	192	119	0	0	0	2231	2260	1910	2497	1255	2576	1386	1236	2642	2475	2875	1394	1721	1655	1722	2043	1859	2172	1396	1817	0	124	0	0	0
MRPS23	1041.240741	2113	1942	230	364	779	1298	2151	417	1268	1898	1214	2138	895	1705	172	777	0	0	0	0	0	0	231	0	174	1019	612	583	408	0	1854	1832	1494	1913	934	2500	851	1229	2069	2349	2533	1317	1817	1276	647	1702	1579	2279	1411	1645	93	515	0	0	0
TAF3	993.981481	2211	1707	230	577	796	1117	1666	439	979	1647	1040	1498	631	2014	130	508	0	0	0	0	0	0	985	0	869	477	314	141	251	0	2119	2259	1879	1908	987	1857	873	977	2130	2180	2290	1132	1998	831	1372	1967	1694	1783	1228	1118	148	718	0	0	0
DYNC2I1	958.777778	1706	1394	414	695	775	1078	1758	508	931	1780	1011	1535	523	2019	179	610	0	0	0	0	0	0	223	0	246	81	0	0	0	0	1972	1951	1764	1467	1263	2330	1265	1140	2375	2527	2229	1092	1684	1720	1017	1975	1744	2165	1171	1312	0	145	0	0	0
BRD3OS	942.259259	2302	1936	306	433	749	1102	1822	264	1001	1886	1112	1534	722	2052	0	327	0	0	0	0	0	0	193	0	133	0	0	0	0	0	2019	2124	1843	2034	1101	2184	1099	882	2155	2115	1894	1197	2016	1472	1469	1894	1581	1737	956	1236	0	0	0	0	0
UBE2O	936.740741	1527	708	408	629	754	1152	1892	436	1129	1502	865	1600	654	2136	0	356	0	0	0	0	0	0	329	0	201	0	0	0	0	0	2012	2076	1840	1108	1688	2544	1711	778	2530	2724	1909	1042	1912	1026	179	1944	1847	2155	1523	1758	0	0	0	0	0
AANAT	936.740741	1527	708	408	629	754	1152	1892	436	1129	1502	865	1600	654	2136	0	356	0	0	0	0	0	0	329	0	201	0	0	0	0	0	2012	2076	1840	1108	1688	2544	1711	778	2530	2724	1909	1042	1912	1026	179	1944	1847	2155	1523	1758	0	0	0	0	0
PALB2	927.685185	2255	1760	143	489	693	916	1619	286	934	1944	1063	1577	614	1560	185	594	0	0	0	0	0	0	362	0	284	175	0	99	92	0	2202	2187	1843	2097	743	1808	892	962	1883	1974	2523	1003	1924	946	697	2268	1924	1619	1296	1304	0	356	0	0	0
DCTN5	927.685185	2255	1760	143	489	693	916	1619	286	934	1944	1063	1577	614	1560	185	594	0	0	0	0	0	0	362	0	284	175	0	99	92	0	2202	2187	1843	2097	743	1808	892	962	1883	1974	2523	1003	1924	946	697	2268	1924	1619	1296	1304	0	356	0	0	0
CFAP54	923.185185	1562	966	314	519	852	1256	1501	271	540	1389	819	1388	529	1836	107	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2251	2246	2074	1022	1155	2456	1358	660	2628	2998	1937	959	2092	2064	1103	2191	1939	2076	1017	1177	0	0	0	0	0
RTF2	922.648148	1125	832	390	665	658	1290	1720	461	834	1483	917	1408	499	1650	268	828	0	0	0	0	0	0	588	0	527	625	481	305	187	0	1757	1783	1551	953	1617	2414	1410	966	2549	2614	1634	1008	1945	1142	351	1793	1819	2036	1271	1101	0	368	0	0	0
ACAP2	910.481481	1328	913	378	681	759	769	1921	490	739	1165	797	1532	588	1829	129	609	0	0	0	0	0	0	1053	0	857	0	0	0	0	0	2049	2015	1656	1064	1556	2485	1539	985	2309	2827	1688	835	1769	1228	867	1829	1180	2051	1432	1265	0	0	0	0	0
SURF6	908.111111	1987	1739	201	352	558	894	1595	275	817	1428	935	1466	593	1851	164	685	0	0	0	0	0	0	494	0	455	290	114	145	0	0	2099	2214	1854	1995	875	2024	949	1006	1778	1916	2174	819	1937	1785	1660	1537	1567	1888	790	952	0	181	0	0	0
FAM227B	894.425926	1367	999	244	569	831	1226	1332	501	691	1358	1024	1136	563	1126	328	1213	0	0	0	0	0	0	865	0	857	1238	798	863	719	0	2101	1999	1651	1135	978	1743	706	805	1867	2038	1583	1149	1537	651	446	1704	1893	1528	969	1174	131	663	0	0	0
DTWD1	894.425926	1367	999	244	569	831	1226	1332	501	691	1358	1024	1136	563	1126	328	1213	0	0	0	0	0	0	865	0	857	1238	798	863	719	0	2101	1999	1651	1135	978	1743	706	805	1867	2038	1583	1149	1537	651	446	1704	1893	1528	969	1174	131	663	0	0	0
HEXD	891.666667	2056	1691	236	481	619	1186	1391	261	953	1849	1104	1674	865	1820	113	628	0	0	0	0	0	0	318	0	289	225	0	0	0	0	1673	1690	1684	1691	1092	1775	1175	993	2243	2219	2321	1281	1749	652	650	1684	1397	1813	1113	1294	0	202	0	0	0
LRP12	890.981481	1893	1926	206	616	968	1264	1507	455	1275	1787	902	1632	595	1621	132	535	0	0	0	0	0	0	200	95	165	0	0	0	0	0	1893	1875	1607	1722	970	1952	1040	954	2029	1872	2211	1210	1606	664	770	1528	1708	1893	1334	1501	0	0	0	0	0
BBS1	877.592593	1531	850	251	450	678	1125	1247	328	549	1693	747	1523	573	2150	122	392	0	0	0	0	0	0	532	0	441	763	358	401	310	0	1879	2102	1887	1376	889	2166	930	648	2265	2517	1890	1082	2086	964	477	1760	1901	1533	848	915	0	261	0	0	0
CCDC59	875.388889	1665	1125	0	301	408	786	1071	248	708	1219	780	1233	318	1176	120	556	0	0	0	0	0	0	722	0	675	1603	1116	1237	979	0	2006	1871	1720	1533	513	1967	469	454	1808	1713	1816	726	1644	521	726	1767	1641	1438	808	945	693	1840	307	299	0
TMEM167B	869.240741	1806	1262	255	380	508	1097	1220	212	942	1667	999	1681	597	1698	77	438	0	0	0	0	0	0	449	0	357	257	190	155	84	0	1896	1796	1706	1911	723	1802	777	883	2006	2188	2079	1079	1871	872	1011	2000	1829	1583	1309	1168	0	119	0	0	0
PET117	860.222222	1968	1490	120	411	718	1079	1281	315	553	1345	871	1160	477	1672	383	1404	0	0	0	0	0	0	264	0	212	266	98	124	0	0	1950	2032	1857	1543	897	1835	830	767	1925	2000	2069	1003	1979	1020	1276	1924	1847	1488	902	1097	0	0	0	0	0
KAT14	860.222222	1968	1490	120	411	718	1079	1281	315	553	1345	871	1160	477	1672	383	1404	0	0	0	0	0	0	264	0	212	266	98	124	0	0	1950	2032	1857	1543	897	1835	830	767	1925	2000	2069	1003	1979	1020	1276	1924	1847	1488	902	1097	0	0	0	0	0
ZC3H3	860.037037	1292	906	274	621	711	788	1826	483	653	1299	593	1570	497	1767	0	249	0	0	0	0	0	0	439	0	424	591	491	285	191	0	1549	1756	1693	1031	1395	2523	1430	776	2364	2614	1892	913	1741	859	300	1048	1522	2227	1208	1173	0	478	0	0	0
LACTB	843.018519	2054	1234	180	252	439	840	1078	295	890	1527	826	1200	397	1966	86	241	0	0	0	0	0	0	471	0	360	0	0	0	0	0	2107	1975	2023	1811	582	1790	634	764	1966	1729	2023	832	2084	1753	1730	2069	1877	1502	923	1013	0	0	0	0	0
WIZ	832.666667	2065	1824	168	265	524	833	1235	222	904	1464	878	1491	519	1632	0	283	0	0	0	0	0	0	461	0	410	139	0	0	0	0	1954	1873	1772	1755	1021	1810	815	707	2038	2145	2130	1101	1905	517	513	1978	1666	1713	786	963	0	485	0	0	0
DMWD	827.851852	1272	817	297	439	593	764	1825	262	631	1255	623	1450	609	1549	0	290	0	0	0	0	0	0	550	0	432	0	0	0	0	0	1380	1792	1619	1032	1527	2297	1398	1015	2363	2657	1770	1087	1956	1241	648	1647	1877	2070	871	799	0	0	0	0	0
WDR54	820.277778	1171	832	447	641	560	895	1517	336	665	1240	835	1212	579	1384	0	325	0	0	0	0	0	0	147	0	147	0	0	0	0	0	1718	1977	1804	1096	1327	2355	1465	917	2240	2724	1659	802	1837	1289	534	1842	1819	1919	1056	982	0	0	0	0	0
C2orf81	820.277778	1171	832	447	641	560	895	1517	336	665	1240	835	1212	579	1384	0	325	0	0	0	0	0	0	147	0	147	0	0	0	0	0	1718	1977	1804	1096	1327	2355	1465	917	2240	2724	1659	802	1837	1289	534	1842	1819	1919	1056	982	0	0	0	0	0
DYNC2H1	819.759259	1118	690	193	558	598	956	1360	332	707	1184	714	1114	389	2056	189	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2263	2327	2028	1071	952	2048	709	809	2099	2459	1742	927	2013	1777	960	1931	1885	1728	824	1104	0	0	0	0	0
KDM8	818.185185	1835	1554	171	320	514	1030	1051	136	782	1622	994	1182	578	1165	160	592	0	0	0	0	0	0	356	0	320	288	189	173	107	0	1918	1716	1952	1871	631	1666	706	513	2268	2035	2362	827	1928	483	454	2006	1790	1422	862	1300	0	353	0	0	0
MRPS15	813.648148	1687	1263	0	167	305	579	1256	261	678	1324	672	1167	486	1720	127	552	0	0	0	0	0	0	729	0	669	606	327	384	252	0	2099	2169	1918	1545	608	1413	609	596	1152	1222	1737	689	1939	1203	1074	2090	1984	1262	711	999	465	1125	117	0	0
RFX1	812.425926	1329	970	222	521	596	735	1702	377	505	1257	634	1274	406	1626	107	346	0	0	0	0	0	0	190	0	129	0	0	0	0	0	1830	1894	1573	870	1505	2723	1493	762	2452	2830	1548	865	1604	1118	356	1658	1444	2065	1247	1108	0	0	0	0	0
SMKR1	805.296296	1049	868	325	553	573	755	1749	467	631	1391	727	1240	695	1386	0	0	0	0	0	0	0	103	186	0	132	0	0	0	0	0	1899	2095	1786	949	1175	2022	1252	844	2324	2685	1718	967	2180	709	301	1807	1995	1859	992	1097	0	0	0	0	0
ZNF497	795.425926	1122	736	211	510	694	766	1606	338	809	972	596	1281	332	1620	98	367	0	0	0	0	0	0	570	0	537	150	99	0	0	0	1563	1806	1722	1081	1085	1983	1084	889	2177	2530	1758	712	1802	1484	1004	1623	1648	1688	788	845	0	267	0	0	0
MLST8	794.796296	2008	1521	197	370	441	938	1463	293	774	1455	926	1411	592	1194	189	490	0	0	0	0	0	0	583	0	475	355	197	241	122	0	1558	1524	1494	1649	667	1832	855	842	1902	1892	1720	1077	1620	621	555	1726	1438	1491	903	1142	0	176	0	0	0
HEATR5A	794.000000	1698	1322	0	237	255	632	1160	165	748	1268	568	914	621	1406	281	891	0	0	0	0	0	0	1629	0	1462	0	0	0	0	0	2079	2191	1973	1354	547	1390	575	624	1446	1462	1838	793	1961	803	1120	2031	1716	1639	898	1179	0	0	0	0	0
FAN1	766.203704	2118	1346	142	241	537	914	972	238	643	1301	795	1093	474	1461	141	824	0	0	0	0	0	0	424	0	353	0	0	0	0	0	1982	2083	1981	1719	500	1204	486	594	1655	1522	1974	895	2129	721	875	2135	1953	1215	802	933	0	0	0	0	0
PTPN1	765.500000	857	847	307	632	596	916	1727	283	939	1509	864	1387	631	1454	197	648	0	0	0	0	0	0	649	0	552	0	0	0	0	0	1311	1526	1229	1233	1105	2152	1176	913	1782	2012	1298	677	1291	692	419	1317	1639	2270	1194	1106	0	0	0	0	0
CPPED1	758.666667	2278	1452	154	211	604	804	1049	153	700	1259	741	1244	461	0	168	793	0	0	0	0	0	0	747	0	615	397	245	252	101	0	1993	2041	1861	1580	557	1432	487	628	1590	1597	1807	1078	1908	368	762	1809	1730	1504	702	957	0	149	0	0	0
CSTF1	757.166667	1761	1391	211	364	493	1178	1239	292	803	1476	1087	1447	580	1251	176	680	0	0	0	0	0	0	196	0	155	232	198	93	131	0	1564	1495	1351	1850	617	1725	636	727	1630	1737	1934	1064	1562	457	395	1672	1599	1212	926	1018	0	282	0	0	0
