Target_genes	SOX2|Average	SRX130061|BJ	SRX5286338|ES_cells	SRX5286339|ES_cells	SRX5286342|ES_cells	SRX5286343|ES_cells	SRX10407083|Esophageal_squamous_carcinoma_cell_line	SRX10407084|Esophageal_squamous_carcinoma_cell_line	SRX11904439|H29	SRX11904440|H29	SRX6852812|HCC2814	SRX277137|HCC95	SRX6852810|HCC95	SRX3205373|Head_and_neck_squamous_cell_carcinoma_	SRX702105|hESC_derived_mesendodermal_cells	SRX702106|hESC_derived_mesendodermal_cells	SRX702108|hESC_derived_mesendodermal_cells	SRX1047416|hESC_derived_neural_cells	SRX11919277|hESC_derived_neuromesodermal_cells	SRX011616|hESC_H1	SRX1047413|hESC_H9	SRX277140|hESC_H9	SRX6101128|hESC_H9	SRX6101129|hESC_H9	SRX266860|hESC_HUES64	SRX266861|hESC_HUES64	SRX702107|hESC_HUES64	SRX702109|hESC_HUES64	SRX20532164|hESC_HUES8	SRX20532165|hESC_HUES8	SRX5286340|hESC_WIBR2	SRX5286341|hESC_WIBR2	SRX5286344|hESC_WIBR2	SRX10101684|hESC_WIBR3	SRX10101685|hESC_WIBR3	SRX8026053|hESC_WIBR3	SRX8026055|hESC_WIBR3	SRX968908|iPSC_derived_neural_cells	SRX968909|iPSC_derived_neural_cells	SRX968910|iPSC_derived_neural_cells	SRX968911|iPSC_derived_neural_cells	SRX968912|iPSC_derived_neural_cells	SRX1813586|iPS_cells	SRX1813587|iPS_cells	SRX20140858|iPS_cells	SRX20140859|iPS_cells	SRX512370|iPS_cells	SRX6852811|KNS-62	SRX10035162|KYSE-140	SRX10407085|KYSE-70	SRX277131|KYSE-70	SRX6852808|LK-2	SRX6852813|LK-2	SRX6852814|LK-2	SRX026880|LN-229	SRX359955|LoVo	ERX2260038|Lung_cancer	ERX2260040|Lung_cancer	ERX2260044|Lung_cancer	ERX2260046|Lung_cancer	SRX2731713|Lung_cancer_cell_line	SRX6750797|MDA-MB-231	SRX6750798|MDA-MB-231	SRX1813580|MRC-5	SRX1813581|MRC-5	SRX1813582|MRC-5	SRX1813583|MRC-5	SRX1813584|MRC-5	SRX1813585|MRC-5	SRX2732210|MRC-5	SRX2732211|MRC-5	SRX5771664|N2102Ep	SRX5771666|N2102Ep	SRX5771668|N2102Ep	SRX11904443|NCI-H1836	SRX11904444|NCI-H1836	SRX6852809|NCI-H520	SRX11904441|NCI-H82	SRX11904442|NCI-H82	SRX10445285|Neural_crest_cells	SRX10445293|Neural_crest_cells	SRX10445303|Neural_crest_cells	SRX10445312|Neural_crest_cells	SRX20140860|Neural_progenitor_cells	SRX20140861|Neural_progenitor_cells	SRX20140862|Neural_progenitor_cells	SRX20140890|Neural_progenitor_cells	SRX20140891|Neural_progenitor_cells	SRX20140892|Neural_progenitor_cells	SRX5716451|Neural_progenitor_cells	SRX5716452|Neural_progenitor_cells	SRX5716453|Neural_progenitor_cells	SRX330107|ReN-VM	SRX330108|ReN-VM	SRX3367070|TE-5	SRX277134|T.T	STRING
NRARP	388.642105	0	272	318	722	471	1101	339	0	0	1320	240	2060	1479	235	0	0	434	460	0	563	144	134	220	0	0	0	0	2323	2591	0	1207	1509	0	0	0	0	0	448	291	374	524	0	0	0	0	1246	485	332	668	1470	745	2162	2179	0	0	0	0	0	190	0	1554	1617	0	0	0	0	0	0	0	0	0	0	202	0	0	291	0	0	266	356	144	399	0	0	0	0	0	0	273	0	251	218	86	76	1932	0
MTF2	316.894737	0	0	0	167	123	651	1049	0	0	0	117	436	3131	214	0	169	1789	1890	0	1115	224	753	1499	228	186	0	213	1246	1147	0	240	629	0	355	0	491	319	447	280	275	609	0	0	0	319	1669	0	979	483	328	285	893	782	0	0	0	0	0	0	0	448	470	0	0	0	0	0	0	0	0	217	544	607	0	0	182	0	0	94	83	123	0	0	0	0	0	0	0	297	0	240	397	216	0	457	0
REST	233.747368	0	335	365	560	273	0	0	0	0	0	0	0	0	525	0	0	672	1889	357	1131	94	897	1741	382	448	437	0	895	895	0	1087	1104	461	577	568	703	0	0	0	0	0	0	0	0	0	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178	1222	1446	0	0	0	0	0	168	181	198	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM227A	222.336842	0	142	170	357	181	634	1024	0	0	0	88	349	419	217	0	0	1350	414	0	1075	114	320	837	0	131	0	0	893	1246	0	432	613	0	0	0	420	0	250	237	228	448	0	0	0	0	1133	166	357	735	693	227	897	967	0	0	0	0	0	0	0	498	499	0	0	0	0	0	0	0	0	0	211	262	0	0	147	0	0	85	85	0	119	0	0	0	0	0	0	321	0	323	112	0	0	696	0
CBY1	222.336842	0	142	170	357	181	634	1024	0	0	0	88	349	419	217	0	0	1350	414	0	1075	114	320	837	0	131	0	0	893	1246	0	432	613	0	0	0	420	0	250	237	228	448	0	0	0	0	1133	166	357	735	693	227	897	967	0	0	0	0	0	0	0	498	499	0	0	0	0	0	0	0	0	0	211	262	0	0	147	0	0	85	85	0	119	0	0	0	0	0	0	321	0	323	112	0	0	696	0
SACS	204.947368	0	85	165	221	0	0	0	0	0	0	0	0	0	275	0	0	2573	1287	0	2226	100	114	384	295	238	0	0	1050	1048	0	454	708	0	497	0	474	0	373	194	294	461	0	0	0	109	1557	0	0	0	0	0	527	128	0	0	0	0	0	0	0	86	70	0	0	0	0	0	0	0	0	489	811	1041	0	0	167	0	0	133	0	0	244	0	0	0	0	0	0	151	0	0	343	98	0	0	0
SOX6	191.631579	134	187	341	0	0	147	104	0	0	0	0	0	122	206	0	0	604	445	270	922	87	744	1892	248	251	0	0	881	1084	0	752	659	225	320	258	696	0	0	0	0	0	0	0	0	0	1741	0	0	129	227	0	195	129	0	0	0	0	0	0	0	86	118	0	0	0	0	0	0	0	0	963	1287	1292	0	0	0	0	0	92	85	0	0	0	0	0	0	0	0	0	0	0	90	0	0	192	0
PIPOX	190.231579	0	119	129	206	124	0	0	0	0	0	0	0	0	138	0	0	1673	696	0	1839	84	0	217	408	235	0	0	1046	1518	0	301	948	0	286	0	407	137	0	0	0	144	0	0	0	150	1677	0	195	270	164	164	1146	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	732	1088	0	0	127	0	0	121	141	114	138	0	0	0	0	0	0	0	0	0	120	0	0	0	0
METTL11B	185.000000	0	121	112	289	226	0	0	0	0	0	0	0	0	473	0	278	2291	2310	0	1155	92	0	0	379	258	211	370	531	744	0	89	876	0	336	0	352	0	209	253	298	334	0	0	0	0	967	0	256	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	1066	1163	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNMBP	181.936842	0	0	0	182	95	0	0	0	0	0	0	0	0	174	0	0	1752	508	0	1528	166	304	645	205	258	0	0	1436	1500	0	215	471	158	336	174	304	0	322	270	209	436	0	0	0	0	1369	0	87	834	640	0	260	0	0	0	0	0	0	0	0	146	124	0	0	0	0	0	0	0	0	490	625	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	146	0	0	0	0
