Target_genes	TCF3|Average	SRX107286|CCRF-CEM	SRX190201|GM12878	SRX10477210|Hep_G2	SRX10477211|Hep_G2	SRX8736984|hESC_derived_neural_cells	SRX8736983|hESC_H1	SRX12024651|hESC_H9	SRX12024653|hESC_H9	SRX656347|ICN12	SRX128780|Jurkat_(Clone_E6-1)	SRX10478377|K-562	SRX10478378|K-562	SRX236115|Kasumi-1	SRX1212540|RAMOS	SRX7083392|RAMOS	SRX2043230|RCH-ACV	SRX158105|RPMI_8402	SRX158106|RPMI_8402	SRX2043226|SEM	STRING
ANPEP	676.947368	0	0	0	0	0	0	0	0	1305	0	1144	1281	1778	0	0	3996	0	0	3358	0
SDE2	636.789474	0	399	0	0	0	0	0	0	386	0	1678	1760	1781	0	0	3471	723	1206	695	0
MRPL34	628.473684	0	1822	0	0	164	0	0	0	1631	0	261	476	1163	255	502	3475	0	289	1903	0
MAP1LC3B2	580.210526	0	1177	0	0	0	0	0	0	987	0	1746	1853	1583	0	0	2342	138	864	334	0
ARSG	570.368421	0	1772	0	0	0	0	0	0	1212	0	104	0	661	151	266	4409	0	414	1848	0
BNIP3L	542.052632	0	93	0	0	0	0	0	0	0	0	2355	2703	2008	0	0	803	343	1863	131	0
CD28	529.894737	0	1813	0	0	0	0	0	0	2789	0	0	0	0	0	311	4264	0	264	627	0
TYROBP	529.000000	0	576	0	0	0	0	0	0	2069	0	236	351	2056	0	0	3679	0	0	1084	0
IL1R1	517.368421	0	202	0	0	0	0	0	0	884	0	2232	2403	1603	0	0	1463	0	535	508	0
C3orf86	502.473684	0	142	0	0	0	0	0	0	262	0	2038	2232	2400	0	0	589	358	1526	0	0
KRTAP16-1	498.421053	0	402	0	0	0	0	0	0	1352	266	0	0	1848	0	0	3165	149	704	1584	0
PI16	493.789474	0	0	0	0	0	0	0	0	559	0	1910	2253	1615	0	0	1876	94	873	202	0
NDUFA4	492.421053	0	660	0	0	0	0	0	0	1134	0	549	658	1882	92	115	3815	0	0	451	0
NADK	485.315789	0	996	0	0	0	0	0	0	1643	0	475	691	1028	96	152	3141	0	0	999	0
TLR9	482.315789	0	279	0	0	0	0	0	0	1224	0	0	0	1337	0	0	2146	186	1876	2116	0
LYL1	478.789474	0	0	0	0	0	0	0	0	107	0	2156	2268	569	0	0	1413	739	1702	143	0
MARCHF2	476.578947	0	93	0	0	0	0	0	0	0	0	2560	2680	2406	0	0	1183	0	0	133	0
HMHB1	476.421053	0	378	0	0	0	0	0	0	2044	0	0	0	2366	0	0	3202	0	415	647	0
DNAJB2	475.526316	0	569	0	0	0	0	0	0	264	0	2180	2195	176	0	0	2891	0	0	760	0
SERPINI1	468.736842	0	199	0	0	0	0	0	0	2168	0	0	0	1346	156	288	3969	0	117	663	0
PDCD10	468.736842	0	199	0	0	0	0	0	0	2168	0	0	0	1346	156	288	3969	0	117	663	0
PPP1R16B	468.368421	0	564	0	0	0	0	0	0	1047	0	1021	972	2094	0	0	1400	223	1092	486	0
HEMGN	456.736842	0	0	0	0	0	0	0	0	0	0	1862	2008	2134	0	0	0	469	2205	0	0
ADORA2A	448.263158	0	1512	0	0	0	0	0	0	1324	193	0	0	505	289	300	2645	286	786	677	0
USP9X	447.894737	0	0	0	0	0	0	0	0	1266	0	1541	2125	0	0	0	3039	0	83	456	0
