Target_genes	DNMT1|Average	SRX3148637|HBEC3-KT	SRX3148642|HBEC3-KT	SRX3148647|HBEC3-KT	SRX3148652|HBEC3-KT	SRX10478478|Hep_G2	SRX10478479|Hep_G2	SRX2424698|K-562	SRX2424699|K-562	SRX156110|NCCIT	SRX156118|NCCIT	SRX1021632|PC-3	SRX1021633|PC-3	STRING
NPAS4	308.916667	0	0	0	0	1789	1918	0	0	0	0	0	0	0
IQSEC3	272.500000	0	0	0	0	1432	1838	0	0	0	0	0	0	0
XKR7	236.333333	0	0	0	0	1302	1534	0	0	0	0	0	0	0
MTRNR2L2	184.916667	0	0	0	0	586	508	0	0	0	0	696	429	0
HTR5A	135.166667	0	0	0	0	730	892	0	0	0	0	0	0	0
MTRNR2L8	117.166667	0	0	0	0	328	207	0	0	0	0	484	387	0
CELSR3	102.250000	0	0	0	0	648	579	0	0	0	0	0	0	0
NTSR2	101.666667	0	0	0	0	565	655	0	0	0	0	0	0	0
INSM2	98.416667	0	0	0	0	0	1181	0	0	0	0	0	0	0
RAB37	96.416667	0	0	0	0	540	617	0	0	0	0	0	0	0
CPLX2	95.000000	0	0	0	0	464	676	0	0	0	0	0	0	0
GLRA1	92.916667	0	0	0	0	446	669	0	0	0	0	0	0	0
STX16	89.583333	0	0	0	0	539	536	0	0	0	0	0	0	0
LRRC59	89.333333	0	0	0	0	539	533	0	0	0	0	0	0	0
BARHL1	85.666667	0	0	0	0	489	539	0	0	0	0	0	0	0
NUF2	85.416667	0	0	0	0	496	436	93	0	0	0	0	0	0
CHGB	78.750000	0	0	0	0	418	527	0	0	0	0	0	0	0
L1CAM	76.500000	0	0	0	0	403	515	0	0	0	0	0	0	0
NSFL1C	73.500000	0	0	0	0	447	435	0	0	0	0	0	0	0
SRRM3	72.666667	0	0	0	0	395	477	0	0	0	0	0	0	0
EIF4A3	72.416667	0	0	0	0	378	491	0	0	0	0	0	0	0
MRPL40	72.000000	0	0	0	0	229	306	186	143	0	0	0	0	0
HIRA	72.000000	0	0	0	0	229	306	186	143	0	0	0	0	0
NUP214	71.500000	0	0	0	0	71	131	331	325	0	0	0	0	0
POTEH	70.500000	0	0	0	0	334	512	0	0	0	0	0	0	0
MED23	70.166667	0	0	0	0	356	486	0	0	0	0	0	0	0
RGPD2	68.416667	0	0	0	0	0	93	0	0	0	0	344	384	0
AFDN	66.083333	0	0	0	0	104	108	246	335	0	0	0	0	0
FAM227B	65.916667	0	0	0	0	276	515	0	0	0	0	0	0	0
DTWD1	65.916667	0	0	0	0	276	515	0	0	0	0	0	0	0
GTF3C3	65.416667	0	0	0	0	347	438	0	0	0	0	0	0	0
TRIP4	64.833333	0	0	0	0	330	283	78	87	0	0	0	0	0
SF3A3	63.750000	0	0	0	0	346	166	138	115	0	0	0	0	0
PPP2R5A	63.333333	0	0	0	0	0	0	0	0	0	0	760	0	0
NHLRC1	62.833333	0	0	0	0	395	359	0	0	0	0	0	0	0
SNAP25	62.500000	0	0	0	0	344	406	0	0	0	0	0	0	0
MRPL53	62.500000	0	0	0	0	303	145	135	167	0	0	0	0	0
NDUFS3	61.916667	0	0	0	0	180	247	151	165	0	0	0	0	0
KBTBD4	61.916667	0	0	0	0	180	247	151	165	0	0	0	0	0
SPATC1L	61.250000	0	0	0	0	81	178	285	191	0	0	0	0	0
CCDC88A	60.750000	0	0	0	0	312	417	0	0	0	0	0	0	0
RGPD1	60.666667	0	0	0	0	0	0	0	0	0	0	344	384	0
PGAM4	60.166667	0	0	0	0	0	0	0	0	0	0	389	333	0
RANBP3	60.083333	0	0	0	0	385	336	0	0	0	0	0	0	0
RAD54L2	59.416667	0	0	0	0	307	406	0	0	0	0	0	0	0
DHRS4L2	58.750000	0	0	0	0	349	356	0	0	0	0	0	0	0
CDK5RAP1	58.166667	0	0	0	0	328	370	0	0	0	0	0	0	0
HECTD1	58.083333	0	0	0	0	277	420	0	0	0	0	0	0	0
WDR35	58.000000	0	0	0	0	314	273	0	0	0	0	109	0	0
WASHC1	58.000000	0	0	0	0	379	317	0	0	0	0	0	0	0
POLR3E	56.416667	0	0	0	0	324	353	0	0	0	0	0	0	0
MRPL44	56.250000	0	0	0	0	273	402	0	0	0	0	0	0	0
TMEM248	56.166667	0	0	0	0	252	218	204	0	0	0	0	0	0
MAPK8IP2	56.166667	0	0	0	0	343	331	0	0	0	0	0	0	0
EXOSC6	56.083333	0	0	0	0	180	176	191	126	0	0	0	0	0
PLEKHM3	55.916667	0	0	0	0	344	327	0	0	0	0	0	0	0
CASC3	55.583333	0	0	0	0	310	357	0	0	0	0	0	0	0
DTD2	55.500000	0	0	0	0	274	392	0	0	0	0	0	0	0
INTS12	54.250000	0	0	0	0	206	445	0	0	0	0	0	0	0
GSTCD	54.250000	0	0	0	0	206	445	0	0	0	0	0	0	0
GIPR	53.333333	0	0	0	0	0	0	0	0	0	0	524	116	0
USPL1	53.250000	0	0	0	0	241	398	0	0	0	0	0	0	0
HMGB1	53.250000	0	0	0	0	241	398	0	0	0	0	0	0	0
IPO4	52.666667	0	0	0	0	320	312	0	0	0	0	0	0	0
PET117	52.333333	0	0	0	0	355	273	0	0	0	0	0	0	0
KAT14	52.333333	0	0	0	0	355	273	0	0	0	0	0	0	0
RGPD6	52.250000	0	0	0	0	225	247	0	0	0	0	155	0	0
RGPD5	52.250000	0	0	0	0	225	247	0	0	0	0	155	0	0
MTF2	52.083333	0	0	0	0	290	335	0	0	0	0	0	0	0
CDIP1	51.500000	0	0	0	0	203	415	0	0	0	0	0	0	0
SCRT2	51.250000	0	0	0	0	284	331	0	0	0	0	0	0	0
TMEM242	51.000000	0	0	0	0	252	360	0	0	0	0	0	0	0
SCAP	50.916667	0	0	0	0	0	87	0	0	0	0	399	125	0
FRA10AC1	50.750000	0	0	0	0	289	320	0	0	0	0	0	0	0
STX18	50.583333	0	0	0	0	319	288	0	0	0	0	0	0	0
POLR2C	50.166667	0	0	0	0	237	365	0	0	0	0	0	0	0
SCFD1	50.000000	0	0	0	0	307	187	0	106	0	0	0	0	0
RABGGTA	50.000000	0	0	0	0	287	313	0	0	0	0	0	0	0
AHI1	49.666667	0	0	0	0	211	270	0	0	0	0	115	0	0
HUS1	49.583333	0	0	0	0	186	191	0	0	0	0	218	0	0
C19orf53	49.416667	0	0	0	0	137	151	191	114	0	0	0	0	0
ABCC6	49.416667	0	0	0	0	256	337	0	0	0	0	0	0	0
MRPS28	49.333333	0	0	0	0	0	0	0	0	0	0	444	148	0
HDAC4	49.333333	0	0	0	0	331	261	0	0	0	0	0	0	0
ENOSF1	49.166667	0	0	0	0	270	320	0	0	0	0	0	0	0
TSEN15	49.083333	0	0	0	0	313	276	0	0	0	0	0	0	0
RBBP5	48.916667	0	0	0	0	176	187	224	0	0	0	0	0	0
TBC1D19	48.750000	0	0	0	0	277	308	0	0	0	0	0	0	0
RANBP2	48.666667	0	0	0	0	328	256	0	0	0	0	0	0	0
ACIN1	48.666667	0	0	0	0	90	246	113	135	0	0	0	0	0
GTF2H2	48.500000	0	0	0	0	213	298	71	0	0	0	0	0	0
NDUFAF5	48.416667	0	0	0	0	268	313	0	0	0	0	0	0	0
ESF1	48.416667	0	0	0	0	268	313	0	0	0	0	0	0	0
CHEK1	48.416667	0	0	0	0	124	225	82	150	0	0	0	0	0
NRL	48.333333	0	0	0	0	278	302	0	0	0	0	0	0	0
H4C12	48.333333	0	0	0	0	258	322	0	0	0	0	0	0	0
DCAF11	48.333333	0	0	0	0	278	302	0	0	0	0	0	0	0
POLR2J3	47.750000	0	0	0	0	204	217	0	152	0	0	0	0	0
TBC1D13	47.666667	0	0	0	0	327	245	0	0	0	0	0	0	0
SERINC4	47.500000	0	0	0	0	0	0	272	298	0	0	0	0	0
HYPK	47.500000	0	0	0	0	0	0	272	298	0	0	0	0	0
FITM2	47.083333	0	0	0	0	337	228	0	0	0	0	0	0	0
COPS7B	47.000000	0	0	0	0	186	273	0	0	0	0	105	0	0
EPHA10	46.583333	0	0	0	0	218	341	0	0	0	0	0	0	0
AAR2	46.583333	0	0	0	0	285	274	0	0	0	0	0	0	0
METTL9	46.500000	0	0	0	0	263	295	0	0	0	0	0	0	0
HES3	46.500000	0	0	0	0	291	267	0	0	0	0	0	0	0
FUZ	46.500000	0	0	0	0	0	0	0	0	0	0	459	99	0
PSMG1	46.416667	0	0	0	0	92	173	156	136	0	0	0	0	0
HEATR5A	46.333333	0	0	0	0	248	308	0	0	0	0	0	0	0
TACO1	45.916667	0	0	0	0	300	251	0	0	0	0	0	0	0
CACYBP	45.833333	0	0	0	0	268	282	0	0	0	0	0	0	0
PPIL2	45.500000	0	0	0	0	0	81	243	222	0	0	0	0	0
HMGA1	45.250000	0	0	0	0	203	340	0	0	0	0	0	0	0
LRRC37A3	45.166667	0	0	0	0	236	306	0	0	0	0	0	0	0
DCP1A	44.750000	0	0	0	0	299	238	0	0	0	0	0	0	0
COA1	44.416667	0	0	0	0	0	110	0	0	0	0	423	0	0
TEFM	44.250000	0	0	0	0	175	356	0	0	0	0	0	0	0
SLC35A3	44.250000	0	0	0	0	332	199	0	0	0	0	0	0	0
GTF2H2C	44.250000	0	0	0	0	162	298	71	0	0	0	0	0	0
PKP4	44.083333	0	0	0	0	227	302	0	0	0	0	0	0	0
GOPC	44.083333	0	0	0	0	188	341	0	0	0	0	0	0	0
