Target_genes	NANOG|Average	SRX13365367|293	SRX13365368|293	SRX13441621|293	SRX13441622|293	SRX5286324|ES_cells	SRX5286325|ES_cells	SRX5286327|ES_cells	SRX5286328|ES_cells	SRX702044|hESC_derived_ectodermal_cells	SRX702037|hESC_derived_mesendodermal_cells	SRX702038|hESC_derived_mesendodermal_cells	SRX702042|hESC_derived_mesendodermal_cells	SRX702043|hESC_derived_mesendodermal_cells	SRX011617|hESC_H1	SRX011618|hESC_H1	SRX017277|hESC_H1	SRX100482|hESC_H1	SRX10448024|hESC_H1	SRX13437668|hESC_H1	SRX13437669|hESC_H1	SRX1303985|hESC_H9	SRX2881137|hESC_H9	SRX2881138|hESC_H9	SRX3288566|hESC_H9	SRX3288567|hESC_H9	SRX6101126|hESC_H9	SRX6101127|hESC_H9	SRX266862|hESC_HUES64	SRX266863|hESC_HUES64	SRX702036|hESC_HUES64	SRX702039|hESC_HUES64	SRX702040|hESC_HUES64	SRX702041|hESC_HUES64	SRX20532160|hESC_HUES8	SRX20532161|hESC_HUES8	SRX11783370|hESC_UCLA2	SRX11783372|hESC_UCLA2	SRX5286326|hESC_WIBR2	SRX5286329|hESC_WIBR2	SRX5457195|iPS_cells	SRX5457196|iPS_cells	SRX1424693|LNCAP	SRX1424694|LNCAP	SRX1424695|LNCAP	SRX1424696|LNCAP	SRX1424697|LNCAP	SRX10445282|Neural_crest_cells	SRX10445290|Neural_crest_cells	SRX10445300|Neural_crest_cells	SRX10445309|Neural_crest_cells	SRX11783374|PGCLC	SRX11783376|PGCLC	STRING
REST	1510.115385	0	0	0	0	2612	1157	3014	2266	0	1390	0	866	884	625	587	1319	1609	2076	1495	491	362	2568	1872	2070	2262	1963	2153	2806	3128	2833	3156	1390	1018	2417	2501	1492	2166	2753	2458	749	435	0	0	0	0	0	3466	2743	3306	3792	1875	401	0
METTL11B	1200.826923	0	0	0	0	2808	724	3147	3016	0	1190	0	666	846	304	240	1012	1626	0	605	182	439	2871	2237	1797	2044	0	0	2077	2515	2136	2567	1263	839	2676	2602	1457	1983	1372	2525	342	226	0	0	0	0	0	3233	2231	2920	3725	0	0	0
DHX8	1191.826923	973	1570	934	1300	1725	539	3343	1967	0	772	0	481	330	0	0	1939	1446	3420	1078	1822	310	1030	2138	1976	1294	547	881	551	465	558	477	794	591	3475	3312	303	288	2720	1895	417	229	0	0	260	0	233	2556	2956	3631	3585	672	192	0
HESX1	1164.576923	0	0	0	0	2247	673	2287	1198	0	1148	0	748	714	464	525	855	1255	882	621	409	405	2572	1965	2575	2335	1114	1080	1383	1750	1413	1775	1169	822	2982	2880	1268	1908	2737	610	877	401	0	0	0	0	0	2357	1776	2633	3072	2139	534	0
PSMD9	1162.557692	0	163	0	0	2780	1011	3054	1791	0	976	0	749	670	206	194	1737	1175	1061	794	444	400	2902	1936	2340	1998	948	917	925	1337	935	1360	995	946	3385	3136	1136	1495	3308	2290	875	356	0	0	0	0	0	2208	1975	2196	3277	72	0	0
HPD	1162.557692	0	163	0	0	2780	1011	3054	1791	0	976	0	749	670	206	194	1737	1175	1061	794	444	400	2902	1936	2340	1998	948	917	925	1337	935	1360	995	946	3385	3136	1136	1495	3308	2290	875	356	0	0	0	0	0	2208	1975	2196	3277	72	0	0
SOX6	1133.826923	0	151	0	0	2710	1366	1467	461	0	981	0	442	705	297	368	1292	326	2969	1054	307	628	2442	1199	2233	1733	2433	2721	1304	2153	1364	2202	885	709	3361	3218	388	608	3192	907	682	364	0	0	0	0	0	2529	1463	2278	3067	0	0	0
PRICKLE1	1079.269231	0	0	0	0	2115	605	1964	781	0	831	0	624	701	241	276	1548	957	2594	1367	1015	708	2073	2264	2167	1880	1946	2083	983	1548	1042	1553	839	721	2403	2344	740	1182	2381	2198	1199	700	0	0	0	0	0	1429	1231	1251	1921	1444	273	0
SGMS2	945.019231	0	0	0	0	1458	202	1967	771	0	640	0	425	653	438	359	1222	1070	1420	1151	562	226	2330	2049	1612	1334	0	0	998	1659	1019	1676	838	750	3059	2849	427	777	2493	1180	712	181	0	0	0	0	0	2237	2128	2621	3441	207	0	0
GIMAP5	941.769231	0	0	0	0	2602	0	2865	1636	0	0	0	0	0	0	0	0	0	2941	1045	0	332	2914	2037	2107	2031	1482	1803	1667	1968	1677	2031	0	0	3398	3511	0	0	3177	1336	0	0	0	0	0	0	0	1305	1098	1254	1683	1072	0	0
